sep=,
DeviceTag:,Pelvic
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
StartTime: ,2024-06-17_16:56:29_000 GMT+9
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,1965820272,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.70117187500000,0.27880859375000,-0.62475585937500
1,1965836939,-9.68546104431152,-0.82087486982346,-0.91382330656052,-4.11526393890381,-9.04226589202881,-0.41404864192009,0.70263671875000,0.27880859375000,-0.62524414062500
2,1965853606,-9.66695499420166,-0.84664154052734,-0.90249454975128,-5.22206592559814,-8.98078155517578,-0.22851020097733,0.69775390625000,0.27709960937500,-0.62573242187500
3,1965870273,-9.61891555786133,-0.84589201211929,-0.91310048103333,-5.38874101638794,-9.63809490203857,-0.84435504674911,0.69726562500000,0.28149414062500,-0.62866210937500
4,1965886940,-9.57265567779541,-0.72127741575241,-0.86891835927963,-4.74604177474976,-11.47719097137451,-1.25720632076263,0.69677734375000,0.28002929687500,-0.63110351562500
5,1965903607,-9.56281280517578,-0.59217697381973,-0.84350770711899,-4.13023519515991,-9.86635398864746,-0.88326072692871,0.69726562500000,0.28051757812500,-0.63256835937500
6,1965920274,-9.70845127105713,-0.62612974643707,-0.90268605947495,-4.07341241836548,-7.69625282287598,0.55086529254913,0.69433593750000,0.27954101562500,-0.63549804687500
7,1965936941,-9.75734806060791,-0.61915987730026,-0.93524128198624,-3.91702270507812,-9.15164470672607,1.22551691532135,0.69677734375000,0.27954101562500,-0.63598632812500
8,1965953608,-9.70266342163086,-0.58046269416809,-0.88018459081650,-3.18124556541443,-9.24351787567139,0.24665038287640,0.69384765625000,0.28051757812500,-0.63696289062500
9,1965970275,-9.58481502532959,-0.46418341994286,-0.80631923675537,-2.06230258941650,-7.06843328475952,-0.29588434100151,0.69140625000000,0.28442382812500,-0.63842773437500
10,1965986942,-9.53954887390137,-0.46777087450027,-0.74719464778900,-1.56307280063629,-4.94412899017334,0.33493730425835,0.69091796875000,0.28100585937500,-0.64184570312500
11,1966003609,-9.59961891174316,-0.52962642908096,-0.70175927877426,-0.55162715911865,-4.24648952484131,0.89054083824158,0.69189453125000,0.28247070312500,-0.63793945312500
12,1966020276,-9.71607398986816,-0.50123006105423,-0.66962242126465,0.60466462373734,-4.24144315719604,0.75903224945068,0.69140625000000,0.28149414062500,-0.64184570312500
13,1966036943,-9.74871635437012,-0.47658583521843,-0.64843112230301,1.70540869235992,-4.60246801376343,0.63069993257523,0.68750000000000,0.27880859375000,-0.64086914062500
14,1966053610,-9.69762706756592,-0.48614302277565,-0.64884215593338,3.09249019622803,-4.92176866531372,0.51697957515717,0.68945312500000,0.27954101562500,-0.63891601562500
15,1966070277,-9.62222385406494,-0.48967829346657,-0.59893262386322,3.98118758201599,-5.33016347885132,0.53812289237976,0.68847656250000,0.28173828125000,-0.63891601562500
16,1966086944,-9.61690616607666,-0.50926727056503,-0.55761384963989,4.45481729507446,-4.92780017852783,0.81377953290939,0.69189453125000,0.27416992187500,-0.64379882812500
