sep=,
DeviceTag:,Thigh-R
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
StartTime: ,2024-06-17_16:56:29_000 GMT+9
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,123102696,0,0,0,0,0,0,-0.25,-0.274658203,-0.713623047
1,123111029,6.382039547,-1.183116794,7.862639904,1.849514246,0.371239901,0.348007798,-0.251708984,-0.273681641,-0.711669922
2,123119362,6.369661331,-1.197761178,7.850496292,2.04126215,0.249316156,0.454947233,-0.249023438,-0.273193359,-0.713623047
3,123127695,6.364750385,-1.234473586,7.829781532,2.202901125,0.073589697,0.458546102,-0.250976563,-0.274169922,-0.712158203
4,123136028,6.328156948,-1.264341593,7.812596798,2.617377758,-0.203479484,0.727841318,-0.25,-0.274658203,-0.711669922
5,123144361,6.365036488,-1.228735209,7.857047558,3.110503197,-0.341668278,0.84179908,-0.251220703,-0.274169922,-0.711181641
6,123152694,6.389445305,-1.230944037,7.911673069,3.372946739,-0.46799773,0.795488596,-0.252685547,-0.275146484,-0.712646484
7,123161027,6.320570946,-1.15566206,7.965165138,3.232964993,-0.570172966,0.663882613,-0.252685547,-0.274169922,-0.713134766
8,123169360,6.341608047,-1.200629473,7.981221199,2.47460413,-0.724780381,-0.082938895,-0.251220703,-0.276855469,-0.712646484
9,123177693,6.743809223,-1.282159567,7.903086662,3.912510395,-0.474145055,0.780171216,-0.250488281,-0.275634766,-0.712158203
10,123186026,6.302268028,-0.949368894,8.095576286,4.738800049,0.036359407,0.665854871,-0.251220703,-0.276123047,-0.712158203
11,123194359,6.532122135,-1.193589449,7.949375629,3.970397949,-0.455625981,0.408278048,-0.251220703,-0.27734375,-0.712646484
12,123202692,6.440294266,-1.084615946,7.994927883,4.667131424,-0.241952091,0.582813561,-0.252197266,-0.276611328,-0.712158203
13,123211025,6.271915913,-1.026101351,7.949612617,4.756960869,-0.462055206,0.047680903,-0.250976563,-0.276855469,-0.713623047
14,123219358,6.292831421,-0.958899856,7.98303175,3.733543158,-0.461235464,-0.350274622,-0.25,-0.277832031,-0.714599609
15,123227691,6.340995312,-0.92179507,7.912711143,3.298870087,-0.329424709,0.120143563,-0.251708984,-0.279296875,-0.711669922
16,123236024,6.260727406,-0.7911219,8.001051903,2.521247625,-0.061397318,0.166787103,-0.254638672,-0.278076172,-0.711669922
17,123244357,6.21203661,-0.820888877,7.995790958,1.275166392,0.357075244,0.353284329,-0.255126953,-0.277587891,-0.713134766
18,123252690,6.264896393,-0.86092335,7.965856552,0.811932802,0.574745119,0.576409996,-0.253662109,-0.277099609,-0.712158203
19,123261023,6.320813179,-0.902639925,7.91633606,1.496524572,1.105062127,1.473548532,-0.251220703,-0.279296875,-0.710693359
20,123269356,6.214630604,-0.93585819,7.866330147,2.243435621,1.36494422,2.268614531,-0.251220703,-0.278320313,-0.713134766
21,123277689,6.062445164,-1.044923186,7.790545464,2.682873249,1.051784396,2.629339457,-0.250732422,-0.279296875,-0.714111328
22,123286022,5.877149582,-1.117718697,7.718138695,2.813172579,0.172191679,2.953999758,-0.251953125,-0.282226563,-0.709228516
23,123294355,5.900448322,-1.169166207,7.650416851,2.980306149,-0.708694756,3.30501771,-0.252197266,-0.279296875,-0.710693359
24,123302688,5.975035667,-1.129009247,7.666638374,2.991832256,-1.452429533,4.058408737,-0.252685547,-0.28125,-0.710205078
25,123311021,6.048175335,-1.066614509,7.768898487,2.795499325,-1.639848948,4.673585892,-0.252929688,-0.280761719,-0.709228516
26,123319354,6.197505951,-1.059351087,7.926624775,2.48940897,-1.577093959,5.194246769,-0.252685547,-0.282226563,-0.713134766
27,123327687,6.383406162,-1.036999226,8.002729416,2.290489197,-1.251204371,5.477181911,-0.252197266,-0.282226563,-0.712158203
28,123336020,6.538160801,-0.976709545,8.154363632,1.935501456,-0.643634498,5.40976572,-0.253662109,-0.282714844,-0.712158203
29,123344353,6.687530041,-0.92810446,8.216211319,1.924589634,0.145476043,5.404436588,-0.255859375,-0.284667969,-0.710205078
30,123352686,6.711386204,-0.851642609,8.27392292,2.066159248,0.945408523,5.359279156,-0.254394531,-0.283691406,-0.710693359
31,123361019,6.696650982,-0.836250186,8.200127602,1.632587314,1.724388838,5.121860504,-0.253662109,-0.28125,-0.712158203
32,123369352,6.662892818,-0.869329691,8.14677906,1.193956256,2.318753958,4.970288754,-0.256347656,-0.284667969,-0.710205078
33,123377685,6.573668957,-0.847616494,8.051883698,0.659938037,2.493302584,4.664595604,-0.25390625,-0.283203125,-0.710205078
34,123386018,6.525077343,-0.869138658,7.892294884,0.004725826,2.690685987,4.626968384,-0.253417969,-0.285644531,-0.712158203
35,123394351,6.440535069,-0.857423007,7.774548531,-0.400196791,2.752287865,4.548460484,-0.25390625,-0.284179688,-0.709716797
36,123402684,6.367198467,-0.856318891,7.717273235,-0.449555486,2.682694197,4.179897308,-0.251953125,-0.285644531,-0.711669922
37,123411017,6.328909874,-0.806978226,7.671879292,-0.213571474,2.455521107,3.302071571,-0.254394531,-0.283203125,-0.710205078
38,123419350,6.346135139,-0.757579505,7.709136963,0.239710823,2.184087515,2.527728081,-0.253417969,-0.284179688,-0.710693359
39,123427683,6.349237442,-0.702523232,7.769184589,0.957934022,1.93885684,1.934604764,-0.252929688,-0.283203125,-0.710693359
40,123436016,6.350141048,-0.667657197,7.838001251,1.450470209,1.624570131,0.98262614,-0.25390625,-0.283691406,-0.711669922
41,123444349,6.340796947,-0.611628473,7.896364212,1.732175589,1.300293922,0.197293624,-0.255371094,-0.286132813,-0.712646484
42,123452682,6.33755827,-0.547718883,7.983602047,1.973641038,1.080421209,-0.477295667,-0.252441406,-0.28515625,-0.711181641
43,123461015,6.318284035,-0.505619228,8.0545187,1.945055246,1.09801805,-1.018831849,-0.254394531,-0.284179688,-0.710693359
