sep=,
DeviceTag:,Torso
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
StartTime: ,2024-06-17_16:56:29_000 GMT+9
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,123111029,0,0,0,0,0,0,-0.615478516,0.124267578,-0.095703125
1,123119362,6.424404144,-0.457084984,7.581853867,-2.102762222,-2.260340691,2.713648796,-0.613525391,0.124267578,-0.092773438
2,123127695,6.512886047,-0.4913629,7.582971096,-2.272251606,-2.121844769,2.789057255,-0.614990234,0.124755859,-0.094238281
3,123136028,6.568750381,-0.541802764,7.656243801,-1.957939267,-1.918595672,2.739442348,-0.614501953,0.126220703,-0.096191406
4,123144361,6.647590637,-0.612362981,7.646317482,-1.407540441,-1.575621128,2.19326973,-0.61328125,0.127197266,-0.095703125
5,123152694,6.706848621,-0.549603164,7.630426407,-0.796666801,-1.08323884,1.828036785,-0.612792969,0.126220703,-0.092773438
6,123161027,6.741467476,-0.440103799,7.609380722,-0.399389952,-0.623693764,1.518488646,-0.612792969,0.128173828,-0.094726563
7,123169360,6.651750565,-0.425908893,7.519490719,-0.920050502,0.606007159,1.175718904,-0.61328125,0.127197266,-0.09375
8,123177693,6.596716404,-0.470363796,7.424107552,-0.572260439,0.884920537,0.907870889,-0.613769531,0.129394531,-0.095214844
9,123186026,6.677557945,-0.463747412,7.43352747,0.218950465,1.028616309,0.757668972,-0.61328125,0.127197266,-0.095703125
10,123194359,6.586411953,-0.516531289,7.429952621,0.866811335,2.479739666,0.655929327,-0.614257813,0.126708984,-0.097167969
11,123202692,6.471270561,-0.603609145,7.410217762,1.825014353,2.271649837,0.411543965,-0.614257813,0.12890625,-0.095703125
12,123211025,6.466606617,-0.667678893,7.560017586,2.461732864,2.429331303,0.41515556,-0.613769531,0.129882813,-0.094726563
13,123219358,6.399673939,-0.763248503,7.512719154,3.110643387,2.522822618,0.590945959,-0.616210938,0.129394531,-0.096191406
14,123227691,6.46575737,-0.919463277,7.370496273,4.077761173,1.629091024,0.76245898,-0.614746094,0.130859375,-0.09765625
15,123236024,6.555151463,-1.025513053,7.340919018,4.918727398,1.706189752,0.881232202,-0.61328125,0.128662109,-0.096679688
16,123244357,6.521125317,-1.074715614,7.500121117,5.479653835,2.718285322,0.884690106,-0.612304688,0.129638672,-0.099365234
17,123252690,6.443354607,-1.093724251,7.469705582,6.01691246,3.289866924,0.964196682,-0.615234375,0.130371094,-0.098632813
18,123261023,6.419337749,-1.049148083,7.50590086,6.78124094,3.153778553,0.813610673,-0.614257813,0.129638672,-0.100830078
19,123269356,6.428127766,-0.941509902,7.73274231,7.44739151,3.237972736,0.592841566,-0.615722656,0.12890625,-0.099853516
20,123277689,6.383292198,-0.937117517,7.850595951,7.706119061,3.208438635,0.797268629,-0.61328125,0.131103516,-0.101806641
21,123286022,6.366785526,-1.058971763,7.871467113,7.667390347,2.78534317,1.165319681,-0.614746094,0.129150391,-0.102783203
22,123294355,6.349553585,-1.208247185,7.903487682,8.351930618,2.265527725,1.961025715,-0.612304688,0.129150391,-0.102294922
23,123302688,6.318015575,-1.263871431,7.86184454,9.229832649,1.22751081,2.943946362,-0.612304688,0.130615234,-0.103271484
24,123311021,6.324982166,-1.162507415,7.88188982,9.905333519,0.574220002,3.596060038,-0.611328125,0.131103516,-0.104736328
25,123319354,6.262297153,-0.994902253,7.876241684,10.56597614,0.081504509,3.935064077,-0.612792969,0.131591797,-0.105224609
26,123327687,6.221641541,-0.837026179,7.825320244,11.53644657,-0.467318922,4.044949055,-0.611816406,0.131591797,-0.103759766
27,123336020,6.185304165,-0.743581772,7.751329422,12.17821312,-0.945613682,3.684941292,-0.612792969,0.131591797,-0.104736328
28,123344353,6.170814991,-0.63830626,7.807738304,12.23499966,-0.797691464,3.213408947,-0.612304688,0.130615234,-0.105224609
29,123352686,6.129680634,-0.548671484,7.791537285,11.79708385,-0.84785676,2.894626141,-0.610839844,0.131591797,-0.103759766
30,123361019,6.036547184,-0.479732275,7.715916157,11.36765003,-1.098351359,2.922482014,-0.612792969,0.131103516,-0.106689453
31,123369352,6.130027771,-0.377566457,7.731140614,10.72194099,-2.117285728,2.768770933,-0.610839844,0.131591797,-0.102294922
32,123377685,6.342490673,-0.230085939,7.715498924,9.757102966,-2.20314455,1.983182192,-0.611816406,0.131103516,-0.103271484
33,123386018,6.471609116,-0.145554259,7.63544035,8.574903488,-1.803383231,1.199668407,-0.61328125,0.132080078,-0.105224609
34,123394351,6.525151253,-0.0676708,7.599003315,7.604598045,-1.905980945,0.400850028,-0.611328125,0.132080078,-0.107421875
35,123402684,6.604002953,0.023261555,7.720324039,6.655884743,-2.09776783,-0.464936793,-0.611328125,0.132080078,-0.107421875
36,123411017,6.644839764,0.067570217,7.701310635,5.759079456,-1.924256802,-0.810575247,-0.610351563,0.131591797,-0.107910156
37,123419350,6.646578789,0.035119269,7.587844849,4.893932343,-1.91313982,-0.905296683,-0.613769531,0.130126953,-0.104248047
38,123427683,6.699902534,-0.037795849,7.614731312,4.275400162,-1.767920256,-0.843784094,-0.612304688,0.131103516,-0.105224609
39,123436016,6.748703003,-0.084168822,7.598779202,3.553667545,-1.488212705,-0.703059435,-0.61328125,0.131103516,-0.103759766
40,123444349,6.767389297,-0.143804267,7.614454746,2.710050106,-0.887507558,-0.475681901,-0.61328125,0.131103516,-0.104736328
41,123452682,6.777435303,-0.179640129,7.525355339,2.003212214,-0.256027073,-0.212815866,-0.611816406,0.131103516,-0.106689453
42,123461015,6.760852814,-0.236532226,7.514337063,1.515901804,0.745527983,-0.14606519,-0.612792969,0.128173828,-0.103759766
43,123469348,6.686701298,-0.288914084,7.411360741,0.983945191,1.510855675,-0.202903152,-0.609375,0.132080078,-0.107910156
44,123477681,6.647311211,-0.443499923,7.409380913,0.732362211,1.897886753,0.004713019,-0.611816406,0.128173828,-0.107910156
45,123486014,6.573302746,-0.540534258,7.523035526,0.283780128,2.369957209,0.358522445,-0.609863281,0.130126953,-0.105957031
46,123494347,6.548921108,-0.607732117,7.613325119,0.059527487,2.728223562,0.819860458,-0.612304688,0.129638672,-0.107421875
47,123502680,6.520351887,-0.649389446,7.588904858,-0.030211991,2.500077486,0.831028283,-0.610839844,0.131591797,-0.106933594
48,123511013,6.539516926,-0.629379809,7.624796391,-0.065277882,2.373030901,1.154203057,-0.611328125,0.129150391,-0.108886719
49,123519346,6.505663872,-0.595925927,7.524501324,0.089598581,2.055798292,1.149003386,-0.61328125,0.131591797,-0.106689453
50,123527679,6.487833977,-0.567382991,7.41967535,1.152896762,1.750656247,1.39917767,-0.612304688,0.128662109,-0.108398438
51,123536012,6.448682785,-0.527946949,7.473633766,1.934796929,0.768350244,1.500635743,-0.610351563,0.132568359,-0.109863281
52,123544345,6.435866356,-0.476447493,7.49488306,2.122536659,0.208691984,1.4029814,-0.612304688,0.132080078,-0.107910156
53,123552678,6.417763233,-0.468538344,7.538556576,2.093771696,-0.124126591,1.602695584,-0.608398438,0.131103516,-0.107910156
54,123561011,6.463018894,-0.465288043,7.578961372,1.889972091,-0.746924043,1.42438221,-0.609375,0.131103516,-0.109375
55,123569344,6.49567461,-0.46919024,7.510338306,1.900115371,-2.18803215,1.079102159,-0.611816406,0.130126953,-0.108886719
56,123577677,6.542106152,-0.392997622,7.501403809,2.506404161,-3.053588152,1.228535414,-0.611328125,0.131591797,-0.106689453
57,123586010,6.557033062,-0.308494836,7.60921669,2.560449839,-2.803336859,1.483448148,-0.611328125,0.131591797,-0.109375
58,123594343,6.52005434,-0.287986308,7.540104389,2.250543118,-2.801134109,1.782212615,-0.610839844,0.132080078,-0.108886719
59,123602676,6.483061314,-0.275295615,7.510569572,2.044182301,-2.894843817,1.992518425,-0.611328125,0.132568359,-0.104736328
60,123611009,6.493238449,-0.298959374,7.554055691,1.856302023,-2.697844744,2.117618322,-0.611328125,0.131103516,-0.108886719
61,123619342,6.48249197,-0.311981589,7.537605762,1.524636269,-2.444405317,2.125494957,-0.609375,0.132080078,-0.110351563
62,123627675,6.501668453,-0.316303611,7.450832844,1.111837149,-2.042159081,1.688183069,-0.612304688,0.132080078,-0.106201172
63,123636008,6.508564472,-0.324768752,7.421356201,1.037350893,-1.270120263,1.206686497,-0.610351563,0.132568359,-0.108886719
64,123644341,6.559714794,-0.334760189,7.473955631,0.995625257,-0.439757973,0.529215693,-0.611816406,0.131103516,-0.107910156
65,123652674,6.59499979,-0.310061425,7.448112488,0.986839592,0.55862087,-0.020888409,-0.609863281,0.131591797,-0.109375
66,123661007,6.643023968,-0.30652079,7.542665958,0.738509595,0.947265625,-0.62502569,-0.610351563,0.132568359,-0.106201172
67,123669340,6.690258503,-0.302846014,7.527389526,0.172102034,1.750399947,-1.116742134,-0.609863281,0.132568359,-0.106933594
68,123677673,6.710867882,-0.29402265,7.444798946,0.152020499,2.583503008,-1.376701117,-0.610839844,0.131103516,-0.109375
69,123686006,6.681459904,-0.299109727,7.473421097,0.363414824,2.677712202,-1.540273786,-0.611328125,0.132568359,-0.108886719
70,123694339,6.650320053,-0.329891264,7.506465912,0.302862734,2.999862432,-1.731535316,-0.612792969,0.131591797,-0.107177734
71,123702672,6.555253506,-0.390269369,7.505445957,0.211752877,3.341581821,-1.635661006,-0.610351563,0.132080078,-0.109863281
72,123711005,6.450525284,-0.46455124,7.515009403,0.433802724,3.240047455,-1.348704815,-0.609375,0.133056641,-0.110839844
73,123719338,6.390141964,-0.522049427,7.570990086,0.946804464,2.730759144,-0.911597848,-0.611328125,0.132568359,-0.111816406
74,123727671,6.352052689,-0.522405744,7.602572918,1.573482513,2.205155134,-0.469547391,-0.611816406,0.133544922,-0.108886719
75,123736004,6.367197514,-0.527405679,7.576023102,2.227029562,2.181077957,-0.265222609,-0.609375,0.130615234,-0.109375
76,123744337,6.393815517,-0.49442479,7.629360676,2.849071741,1.756726861,-0.302824348,-0.61328125,0.133544922,-0.111328125
77,123752670,6.425947666,-0.46033147,7.699519634,3.042689323,1.971988559,-0.467498183,-0.608886719,0.129150391,-0.110839844
78,123761003,6.433055401,-0.412034988,7.7084589,3.06479454,1.687850118,-0.563654065,-0.610351563,0.131591797,-0.11328125
79,123769336,6.447054863,-0.384902686,7.717982292,2.942806482,1.419195056,-0.595838308,-0.611328125,0.130615234,-0.110839844
80,123777669,6.438655853,-0.395193994,7.707219601,3.188229561,1.217239738,-0.651177943,-0.612304688,0.130615234,-0.111816406
81,123786002,6.424090385,-0.417043984,7.747267723,3.146939516,1.067550302,-0.792133093,-0.608886719,0.130615234,-0.112304688
82,123794335,6.373301029,-0.473263919,7.691023827,2.983725548,0.836817086,-0.749997616,-0.613525391,0.129638672,-0.112792969
83,123802668,6.340020657,-0.523361623,7.654297352,3.137795448,0.345766574,-0.770719588,-0.609863281,0.128662109,-0.112304688
84,123811001,6.337839127,-0.56869328,7.669133186,3.593599796,-0.053444095,-0.648001611,-0.609375,0.129638672,-0.113769531
85,123819334,6.324249268,-0.5690763,7.688702583,3.915878534,-0.101086579,-0.518111885,-0.610351563,0.129638672,-0.114257813
86,123827667,6.32290554,-0.597168446,7.684854507,4.383185387,0.263570487,-0.522748172,-0.610351563,0.130615234,-0.116455078
87,123836000,6.316072941,-0.545453012,7.666973591,4.703952312,0.516382933,-0.643058181,-0.610839844,0.130126953,-0.113769531
88,123844333,6.356814861,-0.494740099,7.693306446,4.81498909,0.870089889,-0.72351253,-0.612548828,0.129150391,-0.114257813
89,123852666,6.356045723,-0.458275408,7.677635193,4.93550396,1.199104667,-0.782911897,-0.609375,0.130126953,-0.111328125
