sep=,
DeviceTag:,Pelvic
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
StartTime: ,2024-06-17_16:56:29_000 GMT+9
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,348185359,0,0,0,0,0,0,-0.442382813,-0.374511719,-0.29296875
1,348193692,10.70803738,0.221179485,-1.749574304,-25.62989235,-63.11670685,-38.27693558,-0.438964844,-0.376953125,-0.2890625
2,348202025,6.278377533,1.407165051,-7.117362022,1.609772563,-58.8070755,-42.88583374,-0.436767578,-0.380859375,-0.285644531
3,348210358,5.407063961,2.294935226,-8.719689369,8.237434387,-75.41551208,-53.64906311,-0.431884766,-0.383300781,-0.280273438
4,348218691,9.879247665,2.154356718,-4.754963398,21.09193611,-89.38708496,-55.69823074,-0.427490234,-0.385986328,-0.271728516
5,348227024,10.89558125,1.812731028,0.602286935,23.44545555,-80.43714905,-49.68414688,-0.422851563,-0.393310547,-0.263427734
6,348235357,10.0805006,1.628177762,3.030733347,15.3679142,-75.62005615,-41.49938583,-0.420410156,-0.394775391,-0.257568359
7,348243690,8.026432037,2.115923882,2.611914873,8.561490059,-120.7729874,-44.65824509,-0.414550781,-0.3984375,-0.247802734
8,348252023,9.984966278,4.34815073,-4.11133194,22.85558319,-123.4844666,-38.35103607,-0.411376953,-0.400878906,-0.238037109
9,348260356,8.763753891,4.236222267,-5.503671646,15.67365551,-132.1246948,-40.06756592,-0.405517578,-0.404052734,-0.228271484
10,348268689,7.748799324,3.411253214,-5.761939526,25.00537682,-135.2583008,-49.39879227,-0.403320313,-0.404541016,-0.219482422
11,348277022,10.77435112,1.393204093,-3.245179892,23.28661537,-147.9180145,-55.19340897,-0.395996094,-0.408203125,-0.204833984
12,348285355,14.50055599,0.299409181,0.859225988,-6.821220875,-82.77151489,-31.67152977,-0.392822266,-0.410644531,-0.195556641
13,348293688,10.45620537,2.02821207,-3.528460026,4.97928524,-62.97575378,-13.75248718,-0.389404297,-0.411621094,-0.190673828
14,348302021,9.952277184,2.86734724,-5.837023258,-3.14202404,-32.59570694,-3.849925041,-0.389404297,-0.4140625,-0.189697266
15,348310354,10.9116478,2.929934025,-2.307685852,-7.15265131,-23.4568634,3.92014575,-0.387451172,-0.413330078,-0.190673828
16,348318687,10.97197628,3.261320353,-2.652442694,-3.051604509,-19.63203812,12.41242123,-0.388916016,-0.412353516,-0.189208984
17,348327020,9.530979156,3.263540268,-4.286773205,-5.210884094,-8.040565491,15.55917835,-0.392333984,-0.41015625,-0.185791016
18,348335353,9.110359192,2.88875699,-3.900325537,-5.866889954,-4.314564705,13.71485043,-0.390380859,-0.408935547,-0.185302734
19,348343686,8.369262695,2.078489542,-3.369308472,-4.160238743,-7.666187286,8.388571739,-0.392822266,-0.408691406,-0.185791016
20,348352019,8.218408585,2.240574598,-4.314953804,1.289868951,-10.09805489,3.963431597,-0.393798828,-0.408691406,-0.187744141
21,348360352,8.805356026,1.687700391,-4.699449062,5.798333168,-8.595420837,-0.210523441,-0.396728516,-0.407714844,-0.185058594
22,348368685,8.25374794,1.298061132,-1.538911343,7.034144402,-15.17984295,-0.924417853,-0.395263672,-0.408691406,-0.184082031
23,348377018,8.49654007,1.361392975,-1.237337112,26.53158951,-35.64419174,3.588931561,-0.392333984,-0.407470703,-0.180175781
24,348385351,8.188624382,1.871285558,-3.48188591,38.16624451,-36.91671371,7.901076794,-0.396972656,-0.405761719,-0.173828125
25,348393684,6.963534832,1.8689574,-4.177780151,50.69895554,-37.7328949,8.54643631,-0.397460938,-0.405517578,-0.166503906
26,348402017,6.663908482,1.852312684,-3.092237711,57.26174927,-54.21121216,6.326917171,-0.397949219,-0.402099609,-0.157714844
27,348410350,9.166661263,1.796349287,-2.721558571,51.72718048,-61.57795334,8.084551811,-0.397705078,-0.403076172,-0.1484375
28,348418683,8.189234734,1.778345466,-2.900524378,37.04258728,-32.3327179,12.60234833,-0.397216797,-0.400146484,-0.139160156
29,348427016,9.039057732,2.18055439,-3.921820164,29.99835205,-42.30144501,11.04013348,-0.399658203,-0.399169922,-0.136230469
30,348435349,9.265870094,2.5820086,-5.811802864,20.42213631,-27.52344704,6.386135101,-0.399414063,-0.398681641,-0.127441406
31,348443682,9.786820412,3.066031456,-6.622346878,12.11096764,-23.69079781,0.276211292,-0.400878906,-0.397216797,-0.126464844
32,348452015,8.608402252,2.378375053,-4.735249519,-1.733392477,-18.45544434,-5.228788853,-0.400878906,-0.398681641,-0.124511719
33,348460348,8.301319122,1.485157013,-2.138998508,2.650908947,-31.34823608,-5.967353344,-0.401367188,-0.399169922,-0.124511719
