sep=,
DeviceTag:,Thigh-L
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
StartTime: ,2024-06-17_16:56:29_000 GMT+9
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,348177026,0,0,0,0,0,0,-0.150390625,0.572265625,-0.652099609
1,348185359,6.246917248,2.090585232,8.062506676,-3.626041174,0.025076335,-3.855134249,-0.149414063,0.574951172,-0.651123047
2,348193692,6.258955956,2.09587431,8.059754372,-4.482938766,-0.016559603,-4.449333191,-0.151367188,0.572265625,-0.651123047
3,348202025,6.306846619,2.099341154,8.123116493,-5.291786671,-0.050421629,-4.972914219,-0.1484375,0.572021484,-0.651123047
4,348210358,6.356649399,2.140343428,8.063595772,-6.02945137,0.192132413,-5.428771496,-0.151367188,0.576171875,-0.650146484
5,348218691,6.433566093,2.143582821,8.032874107,-6.71030283,0.732644022,-6.063723087,-0.149414063,0.575439453,-0.652099609
6,348227024,6.519413948,2.101954937,7.999718666,-7.264350891,1.691372156,-6.583652973,-0.150878906,0.575195313,-0.652099609
7,348235357,6.523797989,2.00641942,7.9664464,-7.477973938,2.602547407,-7.14347744,-0.154785156,0.572265625,-0.650634766
8,348243690,6.515197277,1.919013381,7.950510025,-7.174701214,3.484650612,-7.608222008,-0.151855469,0.574707031,-0.651123047
9,348252023,6.413474083,1.83764112,7.858952522,-6.79418993,4.163209915,-8.116293907,-0.154296875,0.573242188,-0.650634766
10,348260356,6.231663227,1.727591872,7.756921291,-6.428788662,4.548537254,-8.467682838,-0.152832031,0.576171875,-0.650634766
11,348268689,6.046122074,1.687740684,7.668392658,-5.984946251,4.67942667,-8.990545273,-0.154296875,0.573730469,-0.652099609
12,348277022,6.00232935,1.692155242,7.316053867,-5.370472908,4.22271204,-9.221522331,-0.153808594,0.576171875,-0.650146484
13,348285355,5.643332481,1.621317983,6.7079916,-5.207848072,3.493089914,-9.284635544,-0.153808594,0.574707031,-0.651123047
14,348293688,5.115827084,1.50300169,6.428349495,-5.675795555,2.082027912,-8.483115196,-0.153808594,0.573730469,-0.649658203
15,348302021,5.321077347,1.636146665,6.280920029,-5.577602863,0.150598913,-7.851225853,-0.151367188,0.57421875,-0.650146484
16,348310354,5.428264141,1.677684069,6.111743927,-6.164833546,-1.504708171,-7.32869339,-0.157226563,0.576660156,-0.648925781
17,348318687,5.565116882,1.658048391,6.129825592,-6.960092545,-3.002180576,-6.915113926,-0.156738281,0.57421875,-0.649902344
18,348327020,5.7900877,1.697769523,6.127975464,-7.308676243,-4.016786098,-6.925564766,-0.157226563,0.575195313,-0.647460938
19,348335353,5.815382481,1.691065788,6.397254467,-7.050625801,-5.007609367,-6.871019363,-0.157226563,0.575683594,-0.646484375
20,348343686,6.018360138,1.707378268,6.665742874,-6.946453094,-5.833872795,-6.898503304,-0.157226563,0.576660156,-0.6484375
21,348352019,6.200313568,1.677927971,6.913208485,-6.976870537,-6.509385109,-6.965317726,-0.158203125,0.576171875,-0.646972656
22,348360352,6.341022491,1.563644052,7.218440533,-6.767807484,-6.903332233,-6.893214226,-0.160644531,0.578613281,-0.647949219
23,348368685,6.530539036,1.478446364,7.512877464,-6.893073559,-6.821353912,-6.775119781,-0.161621094,0.572753906,-0.645019531
24,348377018,6.608923435,1.443408012,7.796757221,-6.753192902,-6.55655241,-6.693537235,-0.162597656,0.577148438,-0.645507813
25,348385351,6.75521946,1.406903148,7.972132206,-7.008720875,-5.666586399,-6.376946449,-0.163818359,0.577636719,-0.642578125
26,348393684,6.774447918,1.324770451,8.116954803,-7.21098423,-4.517570496,-5.929145336,-0.165527344,0.579101563,-0.645507813
27,348402017,6.749051094,1.224746823,8.259511948,-7.236994267,-3.254775047,-5.835025787,-0.164306641,0.577148438,-0.643066406
28,348410350,6.704969406,1.054096341,8.314351082,-6.813540459,-2.185790777,-5.374455452,-0.166259766,0.578125,-0.641113281
29,348418683,6.607222557,0.951111317,8.333349228,-5.675051212,-0.73844552,-4.924502373,-0.165771484,0.578613281,-0.641113281
30,348427016,6.515307903,0.864990711,8.232227325,-4.53516674,0.161139145,-4.491673946,-0.165771484,0.579101563,-0.641601563
31,348435349,6.392249107,0.793050647,8.185125351,-3.414825678,1.208428383,-3.788409233,-0.165771484,0.579101563,-0.640625
32,348443682,6.278007507,0.762191236,8.052804947,-2.051328897,1.752936006,-3.346359015,-0.164794922,0.576660156,-0.642089844
