ForceDecks Raw Data Export,1.0
Weight,83.54
Frequency,500
Recording Date,2024-03-05T15:53:41
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-05T15:53:57
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right,,Acceleration,Velocity,Height,Power,Impulse
32.038,404.831169,413.491651,,0,0,0,0,0
32.04,404.831169,410.491651,,0,0,0,0,0
32.042,404.831169,411.491651,,0,0,0,0,0
32.044,402.831169,413.491651,,0,0,0,0,0
32.046,406.831169,410.491651,,0,0,0,0,0
32.048,407.831169,411.491651,,0,0,0,0,0
32.05,405.831169,410.491651,,0,0,0,0,0
32.052,406.831169,411.491651,,0,0,0,0,0
32.054,405.831169,410.491651,,0,0,0,0,0
32.056,404.831169,411.491651,,0,0,0,0,0
32.058,408.831169,412.491651,,0,0,0,0,0
32.06,405.831169,411.491651,,0,0,0,0,0
32.062,408.831169,410.491651,,0,0,0,0,0
32.064,407.831169,411.491651,,0,0,0,0,0
32.066,409.831169,412.491651,,0,0,0,0,0
32.068,408.831169,410.491651,,0,0,0,0,0
32.07,408.831169,411.491651,,0,0,0,0,0
32.072,408.831169,409.491651,,0,0,0,0,0
32.074,408.831169,412.491651,,0,0,0,0,0
32.076,408.831169,410.491651,,0,0,0,0,0
32.078,408.831169,414.491651,,0,0,0,0,0
32.08,408.831169,411.491651,,0,0,0,0,0
32.082,409.831169,412.491651,,0,0,0,0,0
32.084,408.831169,411.491651,,0,0,0,0,0
32.086,406.831169,412.491651,,0,0,0,0,0
32.088,406.831169,411.491651,,0,0,0,0,0
32.09,409.831169,410.491651,,0,0,0,0,0
32.092,408.831169,410.491651,,0,0,0,0,0
32.094,406.831169,410.491651,,0,0,0,0,0
32.096,409.831169,411.491651,,0,0,0,0,0
32.098,408.831169,409.491651,,0,0,0,0,0
32.1,410.831169,410.491651,,0,0,0,0,0
