ForceDecks Raw Data Export,2.0
Frequency,200
Recording Date,2024-03-05T15:52:51
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 1)"
Analysis Date,2024-03-05T15:53:15
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
3.42,418.222973,0.493361,-26.947826,403.583538,7.372504,-12.348134,,103.996314,78.966216,130.984029,104.276413,93.515356,96.713759,117.173219,96.181204
3.425,417.222973,0.78935,-25.979394,403.083538,6.771354,-11.561508,,104.496314,78.966216,130.984029,102.776413,94.265356,96.463759,116.173219,96.181204
3.43,416.972973,1.01106,-27.416225,399.083538,7.147429,-11.407395,,103.246314,78.716216,131.484029,103.526413,93.765356,95.213759,115.923219,94.181204
3.435,416.222973,0.791246,-27.336189,401.333538,6.8775,-11.477682,,102.746314,78.966216,130.484029,104.026413,93.265356,96.713759,115.173219,96.181204
3.44,417.722973,1.524539,-27.75392,401.833538,7.481136,-12.267838,,103.246314,78.716216,132.734029,103.026413,92.765356,96.713759,116.423219,95.931204
3.445,414.722973,1.090691,-26.655625,400.583538,7.274192,-11.902645,,102.746314,78.966216,130.234029,102.776413,93.265356,95.963759,116.173219,95.181204
3.45,416.472973,1.012274,-27.70786,400.583538,6.660087,-11.902645,,103.496314,77.966216,131.984029,103.026413,93.765356,95.463759,115.673219,95.681204
3.455,416.222973,0.939003,-27.853941,402.583538,6.932527,-12.646453,,102.996314,78.216216,131.484029,103.526413,93.515356,95.963759,116.673219,96.431204
3.46,416.472973,1.159943,-27.19042,403.333538,7.453314,-11.420768,,103.496314,78.466216,131.734029,102.776413,93.765356,97.213759,116.673219,95.681204
3.465,415.472973,1.458783,-28.293236,402.583538,6.474237,-11.040575,,102.496314,77.966216,132.234029,102.776413,95.265356,95.713759,116.173219,95.431204
3.47,416.722973,1.233037,-27.044825,405.333538,6.80963,-12.161907,,103.496314,78.716216,131.734029,102.776413,94.515356,96.713759,117.173219,96.931204
3.475,416.722973,1.823357,-27.044825,405.833538,7.10432,-11.350414,,103.246314,78.966216,132.484029,102.026413,94.765356,97.463759,117.173219,96.431204
3.48,414.222973,1.388949,-26.6878,404.083538,6.906793,-12.599508,,102.996314,78.466216,130.984029,101.776413,93.765356,96.463759,116.923219,96.931204
3.485,418.222973,1.228614,-26.432551,406.583538,6.561804,-11.99201,,103.496314,79.966216,131.234029,103.526413,95.015356,96.963759,117.173219,97.431204
3.49,416.722973,0.790297,-26.78626,405.333538,7.416537,-11.630246,,103.496314,78.966216,130.734029,103.526413,94.265356,97.463759,117.423219,96.181204
3.495,418.722973,1.520898,-26.143657,405.083538,7.041563,-11.770421,,103.746314,80.216216,131.734029,103.026413,94.515356,96.963759,117.173219,96.431204
3.5,418.722973,1.374022,-26.400987,406.083538,7.024223,-11.210757,,104.246314,79.466216,132.234029,102.776413,94.765356,97.713759,116.923219,96.681204
3.505,416.472973,1.307611,-26.931699,406.833538,7.54036,-10.263113,,102.746314,79.466216,130.984029,103.276413,95.515356,98.213759,117.673219,95.431204
3.51,416.972973,1.306043,-26.124175,405.083538,6.434281,-9.37647,,103.746314,79.466216,131.234029,102.526413,95.765356,97.963759,115.173219,96.181204
3.515,412.972973,1.318693,-26.37721,404.583538,7.810306,-9.920704,,102.496314,78.716216,129.984029,101.776413,94.515356,98.463759,116.673219,94.931204
3.52,416.972973,1.01106,-24.832125,403.083538,6.923928,-11.294194,,103.996314,80.466216,129.734029,102.776413,94.515356,96.463759,116.423219,95.681204
3.525,415.222973,0.200699,-24.288035,406.083538,7.17567,-10.945417,,105.246314,78.966216,128.984029,102.026413,95.015356,97.713759,117.173219,96.181204
3.53,416.222973,1.234518,-25.782935,404.083538,6.906793,-10.466286,,103.246314,79.966216,130.234029,102.776413,95.265356,96.963759,116.423219,95.431204
3.535,414.972973,0.867731,-24.951806,404.083538,7.515578,-10.732938,,103.996314,79.466216,129.484029,102.026413,94.015356,97.963759,116.423219,95.681204
3.54,411.972973,1.471176,-25.395052,403.083538,7.534223,-10.759565,,102.746314,78.966216,129.484029,100.776413,94.015356,97.463759,116.423219,95.181204
3.545,414.472973,1.017159,-24.721938,404.333538,7.43488,-10.060082,,103.996314,79.466216,129.484029,101.526413,94.765356,97.963759,116.423219,95.181204
3.55,414.722973,0.794108,-24.836941,404.333538,6.978574,-10.060082,,103.996314,79.466216,129.234029,102.026413,94.765356,97.963759,115.673219,95.931204
3.555,413.472973,0.424658,-24.781728,403.333538,7.148355,-10.619322,,103.746314,79.216216,128.234029,102.276413,94.265356,97.463759,115.923219,95.681204
3.56,412.472973,0.574789,-25.103039,405.333538,6.961357,-10.832754,,103.246314,78.966216,128.234029,102.026413,95.015356,97.463759,116.673219,96.181204
3.565,410.222973,0.802819,-24.584069,406.583538,6.864325,-10.136917,,102.746314,78.966216,127.484029,101.026413,96.015356,97.713759,116.923219,95.931204
