ForceDecks Raw Data Export,2.0
Frequency,200
Recording Date,2024-03-05T15:58:32
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 2)"
Analysis Date,2024-03-05T15:58:45
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
16.335,323.570545,-2.454401,-66.773719,0.225248,0,0,,60.032178,51.623144,106.933787,104.981436,10.337871,-10.273515,9.798886,-9.637995
16.34,320.570545,-1.518143,-65.718011,0.475248,0,0,,58.782178,52.623144,105.683787,103.481436,10.087871,-10.523515,10.548886,-9.637995
16.345,317.820545,-2.208548,-66.79519,-0.774752,0,0,,59.532178,50.123144,105.933787,102.231436,11.087871,-11.273515,9.548886,-10.137995
16.35,315.070545,-2.520617,-67.549186,-0.274752,0,0,,58.532178,49.623144,104.683787,102.231436,10.087871,-10.523515,11.048886,-10.887995
16.355,312.320545,-2.83818,-66.24647,0.725248,0,0,,58.282178,49.873144,102.683787,101.481436,9.087871,-9.023515,10.298886,-9.637995
16.36,309.320545,-1.67277,-68.28235,1.225248,0,0,,56.532178,49.123144,103.433787,100.231436,10.337871,-9.273515,10.048886,-9.887995
16.365,304.320545,-1.498164,-67.633895,0.975248,0,0,,56.032178,48.373144,101.933787,97.981436,9.837871,-9.773515,10.798886,-9.887995
16.37,304.570545,-1.194049,-68.109044,0.475248,0,0,,55.532178,48.623144,102.183787,98.231436,10.087871,-9.773515,10.798886,-10.637995
16.375,303.570545,-0.590215,-67.978462,-0.024752,0,0,,55.282178,48.623144,102.433787,97.231436,10.337871,-10.523515,10.548886,-10.387995
16.38,304.320545,-0.083537,-66.217625,1.475248,0,0,,55.282178,50.123144,101.933787,96.981436,9.837871,-9.273515,10.548886,-9.637995
16.385,303.570545,0.22014,-68.333404,-0.524752,0,0,,54.532178,49.123144,102.933787,96.981436,9.837871,-10.273515,11.048886,-11.137995
16.39,305.820545,0.319069,-65.892838,2.225248,0,0,,55.532178,50.623144,102.683787,96.981436,10.337871,-9.273515,10.548886,-9.387995
16.395,308.320545,1.513289,-65.708024,-0.774752,0,0,,56.032178,51.123144,104.933787,96.231436,10.087871,-9.773515,9.298886,-10.387995
16.4,306.820545,2.322458,-67.785173,1.725248,0,0,,54.782178,50.373144,105.933787,95.731436,9.837871,-10.023515,10.798886,-8.887995
16.405,307.320545,3.119147,-65.921833,-1.024752,0,0,,54.782178,51.873144,105.683787,94.981436,8.837871,-9.773515,10.298886,-10.387995
16.41,306.320545,3.12933,-66.84055,1.475248,0,0,,55.032178,50.623144,106.433787,94.231436,10.587871,-10.273515,11.048886,-9.887995
16.415,305.820545,3.134446,-66.245169,-0.774752,0,0,,54.532178,51.373144,105.433787,94.481436,9.087871,-10.523515,10.798886,-10.137995
16.42,305.320545,3.542434,-64.942022,-1.274752,0,0,,54.532178,52.123144,104.933787,93.731436,9.587871,-9.773515,9.548886,-10.637995
16.425,305.320545,2.938151,-63.883299,-0.024752,0,0,,55.282178,52.123144,104.183787,93.731436,9.837871,-11.273515,11.048886,-9.637995
16.43,304.320545,3.958254,-63.385085,-0.774752,0,0,,54.782178,52.623144,104.433787,92.481436,9.587871,-10.523515,10.298886,-10.137995
16.435,299.570545,4.328957,-61.692509,-0.524752,0,0,,54.282178,52.623144,102.433787,90.231436,10.337871,-10.273515,10.048886,-10.637995
16.44,298.820545,4.442727,-62.027642,0.725248,0,0,,54.032178,52.373144,102.433787,89.981436,10.837871,-10.273515,10.548886,-10.387995
16.445,297.570545,4.7714,-58.84826,0.975248,0,0,,54.532178,53.623144,100.933787,88.481436,10.337871,-9.523515,10.798886,-10.637995
16.45,295.070545,4.811825,-59.346854,0.225248,0,0,,53.782178,53.123144,100.183787,87.981436,10.337871,-10.523515,10.548886,-10.137995
16.455,292.820545,5.373865,-57.043073,1.225248,0,0,,54.032178,53.623144,99.183787,85.981436,9.837871,-9.773515,10.548886,-9.387995
16.46,292.070545,6.545775,-55.160505,1.225248,0,0,,53.782178,54.873144,98.933787,84.481436,9.837871,-9.773515,10.548886,-9.387995
16.465,292.570545,6.114177,-52.856513,-1.274752,0,0,,54.532178,55.873144,97.683787,84.481436,9.837871,-10.523515,9.298886,-9.887995
16.47,294.320545,5.973344,-51.260892,0.975248,0,0,,55.782178,56.373144,97.933787,84.231436,10.337871,-10.523515,10.548886,-9.387995
16.475,294.570545,7.534114,-51.400281,0.225248,0,0,,54.532178,57.623144,98.683787,83.731436,9.837871,-9.773515,10.548886,-10.387995
16.48,295.570545,7.508624,-50.132731,0.475248,0,0,,55.532178,57.873144,98.933787,83.231436,9.837871,-9.773515,10.548886,-10.137995
16.485,299.570545,7.203071,-48.02461,1.475248,0,0,,57.282178,59.123144,99.433787,83.731436,9.837871,-9.273515,11.548886,-10.637995
16.49,299.570545,8.434835,-48.743973,-0.274752,0,0,,56.532178,59.373144,100.683787,82.981436,9.837871,-10.523515,10.298886,-9.887995
16.495,303.070545,7.931579,-47.47,0.475248,0,0,,58.032178,60.123144,101.183787,83.731436,10.837871,-10.523515,11.048886,-10.887995
16.5,307.070545,8.429099,-47.202537,-1.024752,0,0,,58.532178,61.373144,102.683787,84.481436,9.837871,-10.523515,9.798886,-10.137995
16.505,308.320545,8.295192,-48.234326,-0.024752,0,0,,58.282178,61.373144,103.183787,85.481436,10.587871,-10.773515,11.298886,-11.137995
16.51,309.570545,8.162366,-46.821343,-0.774752,0,0,,59.532178,61.623144,103.433787,84.981436,10.087871,-10.523515,9.798886,-10.137995
16.515,312.320545,8.779691,-46.926576,-1.024752,0,0,,59.282178,62.873144,104.433787,85.731436,10.087871,-11.773515,11.048886,-10.387995
16.52,313.320545,8.359101,-48.152392,-2.524752,0,0,,59.782178,61.873144,105.433787,86.231436,9.837871,-10.773515,9.298886,-10.887995
16.525,318.570545,8.897018,-46.851502,-1.024752,0,0,,60.532178,64.123144,106.683787,87.231436,10.087871,-10.523515,10.548886,-11.137995
16.53,315.820545,8.682393,-48.794747,0.475248,0,0,,59.782178,62.373144,106.683787,86.981436,10.087871,-10.023515,10.298886,-9.887995
16.535,315.070545,8.800658,-49.765867,-1.774752,0,0,,59.032178,62.123144,106.683787,87.231436,10.337871,-11.523515,10.298886,-10.887995
16.54,315.820545,8.292931,-48.112398,-1.774752,0,0,,60.032178,62.623144,105.933787,87.231436,9.837871,-11.773515,11.548886,-11.387995
16.545,316.820545,9.431453,-51.361517,1.975248,0,0,,58.532178,62.123144,108.433787,87.731436,11.837871,-11.023515,11.298886,-10.137995
16.55,315.570545,9.371369,-49.345571,-0.274752,0,0,,58.782178,62.873144,106.933787,86.981436,10.087871,-10.523515,11.048886,-10.887995
16.555,316.320545,8.668669,-51.102067,-1.024752,0,0,,58.782178,61.873144,107.433787,88.231436,9.337871,-10.773515,10.798886,-10.387995
16.56,317.320545,9.222781,-49.922339,-0.024752,0,0,,59.282178,62.623144,107.933787,87.481436,10.337871,-10.773515,11.048886,-10.637995
16.565,317.320545,9.028971,-51.959711,0.225248,0,0,,58.532178,61.873144,108.433787,88.481436,10.087871,-11.273515,12.048886,-10.637995
16.57,319.820545,9.535279,-51.553548,-0.774752,0,0,,58.532178,63.123144,109.183787,88.981436,10.337871,-11.273515,11.798886,-11.637995
16.575,320.820545,9.697253,-53.072143,-0.024752,0,0,,58.032178,62.873144,110.183787,89.731436,10.587871,-10.523515,11.048886,-11.137995
16.58,322.820545,10.399208,-52.74334,0.225248,0,0,,59.282178,62.623144,112.433787,88.481436,10.337871,-10.523515,11.298886,-10.887995
16.585,327.320545,11.007797,-54.651729,-0.024752,0,0,,58.532178,63.623144,114.683787,90.481436,10.587871,-11.023515,11.298886,-10.887995
16.59,333.070545,10.910085,-55.811026,-0.774752,0,0,,59.032178,64.373144,116.933787,92.731436,11.587871,-11.523515,10.548886,-11.387995
16.595,335.820545,10.36291,-57.760414,-0.774752,0,0,,59.282178,63.623144,118.433787,94.481436,10.587871,-11.023515,10.548886,-10.887995
16.6,341.320545,10.556288,-57.145355,-1.024752,0,0,,60.282178,65.123144,120.183787,95.731436,11.087871,-12.273515,11.048886,-10.887995
16.605,347.820545,10.359014,-57.006793,1.975248,0,0,,61.532178,66.373144,122.183787,97.731436,11.587871,-11.023515,12.548886,-11.137995
16.61,354.320545,9.821835,-57.785624,2.725248,0,0,,63.282178,66.373144,124.933787,99.731436,11.837871,-10.523515,12.048886,-10.637995
16.615,363.820545,10.072488,-57.757551,-0.524752,0,0,,65.032178,68.123144,128.683787,101.981436,11.337871,-11.523515,11.548886,-11.887995
16.62,372.570545,10.083535,-57.124104,-0.774752,0,0,,66.782178,70.123144,131.433787,104.231436,11.087871,-11.773515,11.298886,-11.387995
16.625,381.570545,9.845697,-56.341505,-0.024752,0,0,,69.282178,71.623144,134.433787,106.231436,11.337871,-11.773515,11.798886,-11.387995
16.63,387.570545,10.169318,-57.137362,0.225248,0,0,,70.282178,72.123144,137.683787,107.481436,11.837871,-11.773515,11.298886,-11.137995
16.635,394.570545,9.053712,-56.669863,-0.774752,0,0,,72.282178,73.123144,138.683787,110.481436,11.087871,-11.523515,12.048886,-12.387995
16.64,407.070545,8.624618,-55.723778,-1.524752,0,0,,75.532178,75.373144,142.433787,113.731436,10.837871,-11.773515,12.048886,-12.637995
16.645,418.820545,8.162393,-56.347245,-0.274752,0,0,,78.282178,76.373144,146.933787,117.231436,11.587871,-11.523515,12.048886,-12.387995
16.65,433.570545,7.246405,-55.797168,-0.524752,0,0,,82.532178,78.123144,151.433787,121.481436,11.337871,-12.523515,12.548886,-11.887995
16.655,446.570545,7.448606,-55.138004,-0.774752,0,0,,85.282178,80.873144,155.933787,124.481436,10.837871,-11.773515,11.548886,-11.387995
16.66,458.320545,6.385439,-55.017463,1.475248,0,0,,88.532178,82.123144,158.933787,128.731436,13.087871,-11.523515,11.548886,-11.637995
16.665,469.320545,6.366817,-56.483003,-0.524752,0,0,,90.782178,82.373144,164.433787,131.731436,11.587871,-12.023515,11.798886,-11.887995
16.67,482.570545,6.128281,-56.383484,-0.774752,0,0,,93.032178,85.123144,168.183787,136.231436,11.087871,-11.023515,11.048886,-11.887995
16.675,496.070545,6.457404,-55.717899,-0.024752,0,0,,96.282178,87.623144,173.433787,138.731436,10.837871,-10.773515,12.048886,-12.137995
16.68,510.570545,6.153563,-56.034879,1.225248,0,0,,99.282178,89.623144,178.433787,143.231436,11.587871,-10.523515,11.798886,-11.637995
16.685,519.820545,5.393357,-58.665214,0.975248,0,0,,101.032178,88.123144,183.183787,147.481436,11.837871,-12.023515,11.798886,-10.637995
16.69,531.820545,5.271662,-59.367552,-0.274752,0,0,,103.032178,89.623144,187.683787,151.481436,11.337871,-11.773515,11.798886,-11.637995
16.695,545.570545,5.195163,-59.74756,-1.024752,0,0,,105.532178,91.623144,192.683787,155.731436,11.087871,-11.773515,11.548886,-11.887995
16.7,559.070545,5.399726,-61.773973,0.725248,0,0,,107.532178,91.873144,199.933787,159.731436,11.587871,-11.023515,12.048886,-11.887995
16.705,577.070545,4.805007,-63.208058,2.725248,0,0,,110.032178,93.873144,205.933787,167.231436,12.337871,-11.023515,12.548886,-11.137995
16.71,588.820545,4.761345,-64.417137,-0.274752,0,0,,112.782178,93.623144,212.183787,170.231436,11.587871,-12.023515,11.298886,-11.137995
16.715,600.820545,3.437928,-66.717315,-0.024752,0,0,,115.282178,92.123144,216.683787,176.731436,11.337871,-12.023515,12.548886,-11.887995
16.72,610.320545,3.686715,-67.620833,-0.524752,0,0,,116.032178,93.373144,220.933787,179.981436,11.587871,-11.773515,11.548886,-11.887995
