ForceDecks Raw Data Export,2.0
Frequency,200
Recording Date,2024-03-05T15:58:32
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-05T15:58:45
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
29.595,0.320545,0,0,606.725248,1.890536,-66.27638,,-12.217822,13.123144,-10.816213,10.231436,112.337871,97.726485,210.298886,186.362005
29.6,-2.179455,0,0,610.225248,2.685952,-67.308839,,-12.217822,11.373144,-11.566213,10.231436,111.337871,98.476485,213.298886,187.112005
29.605,0.820545,0,0,616.475248,2.40932,-67.063403,,-12.217822,12.373144,-10.566213,11.231436,112.837871,99.476485,214.798886,189.362005
29.61,-0.179455,0,0,620.725248,2.739595,-68.600485,,-11.967822,12.123144,-11.316213,10.981436,111.837871,99.726485,217.548886,191.612005
29.615,-0.929455,0,0,623.475248,2.678191,-68.384316,,-11.467822,11.623144,-12.066213,10.981436,112.087871,100.726485,217.798886,192.862005
29.62,0.320545,0,0,627.475248,2.75913,-69.150422,,-11.467822,11.373144,-10.816213,11.231436,112.087871,100.976485,219.798886,194.612005
29.625,-0.179455,0,0,631.975248,2.350228,-70.022012,,-11.967822,11.873144,-10.816213,10.731436,112.587871,100.726485,221.298886,197.362005
29.63,-0.179455,0,0,632.225248,2.592487,-70.420397,,-11.467822,12.373144,-12.316213,11.231436,111.587871,101.226485,221.548886,197.862005
29.635,0.570545,0,0,633.475248,2.53883,-71.046862,,-10.717822,11.873144,-10.816213,10.231436,111.587871,100.726485,222.548886,198.612005
29.64,-1.929455,0,0,639.475248,2.034146,-71.728231,,-12.217822,11.873144,-11.566213,9.981436,112.087871,101.226485,223.798886,202.362005
29.645,-1.929455,0,0,644.975248,1.826095,-71.951875,,-12.217822,11.623144,-11.566213,10.231436,113.587871,101.226485,226.048886,204.112005
29.65,-0.429455,0,0,652.475248,1.993617,-71.455091,,-11.717822,12.373144,-10.316213,9.231436,114.587871,103.476485,228.048886,206.362005
29.655,-0.179455,0,0,660.475248,1.690125,-71.894713,,-11.467822,11.373144,-10.816213,10.731436,115.837871,104.226485,230.548886,209.862005
29.66,1.070545,0,0,664.725248,1.910618,-71.678191,,-10.717822,11.623144,-10.316213,10.481436,115.837871,105.976485,231.548886,211.362005
29.665,0.070545,0,0,668.975248,1.852514,-71.46442,,-11.717822,10.623144,-10.066213,11.231436,116.337871,107.226485,232.298886,213.112005
29.67,0.070545,0,0,677.225248,1.602917,-69.877863,,-11.717822,13.123144,-11.816213,10.481436,119.587871,109.226485,233.798886,214.612005
29.675,0.070545,0,0,679.225248,1.960375,-68.720286,,-10.467822,11.123144,-11.066213,10.481436,119.837871,111.476485,233.548886,214.362005
29.68,-0.679455,0,0,683.475248,1.813213,-67.583542,,-10.217822,11.123144,-10.816213,9.231436,121.337871,113.226485,233.548886,215.362005
29.685,-1.429455,0,0,687.725248,1.936145,-66.147496,,-10.967822,10.873144,-10.566213,9.231436,123.087871,115.226485,234.048886,215.362005
29.69,-0.929455,0,0,688.475248,1.264077,-64.901648,,-11.217822,11.123144,-10.316213,9.481436,124.837871,115.726485,232.048886,215.862005
29.695,-1.679455,0,0,692.225248,1.657027,-62.915653,,-11.467822,10.623144,-9.816213,8.981436,125.587871,119.476485,231.298886,215.862005
29.7,-1.179455,0,0,695.475248,1.51664,-62.079389,,-10.217822,10.123144,-10.316213,9.231436,127.587871,119.976485,232.048886,215.862005
29.705,-1.929455,0,0,699.475248,1.683814,-62.032471,,-10.967822,9.873144,-10.316213,9.481436,128.087871,120.976485,233.548886,216.862005
29.71,0.320545,0,0,697.725248,1.820252,-62.265273,,-10.967822,11.623144,-10.066213,9.731436,126.587871,121.476485,232.548886,217.112005
29.715,0.820545,0,0,699.475248,1.85966,-62.340559,,-10.717822,10.623144,-8.816213,9.731436,126.337871,122.226485,232.798886,218.112005
