ForceDecks Raw Data Export,2.0
Frequency,200
Recording Date,2024-03-05T15:58:32
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 1)"
Analysis Date,2024-03-05T15:58:45
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
3.31,-0.179455,0,0,264.975248,-0.893344,-73.477347,,-10.967822,10.623144,-9.566213,9.731436,56.837871,30.476485,101.048886,76.612005
3.315,-1.679455,0,0,270.725248,-0.306451,-71.717741,,-10.217822,10.123144,-10.566213,8.981436,58.087871,32.226485,102.798886,77.612005
3.32,-1.429455,0,0,274.475248,-0.862424,-70.934186,,-11.717822,10.373144,-9.816213,9.731436,58.087871,33.976485,102.298886,80.112005
3.325,-1.429455,0,0,277.975248,-0.851565,-68.878177,,-10.967822,10.623144,-10.566213,9.481436,60.087871,34.476485,103.548886,79.862005
3.33,-2.429455,0,0,278.475248,-1.070882,-69.528363,,-11.717822,10.373144,-10.816213,9.731436,60.087871,34.226485,103.798886,80.362005
3.335,1.820545,0,0,279.475248,0.253281,-66.966318,,-10.717822,11.873144,-9.066213,9.731436,61.087871,35.226485,104.798886,78.362005
3.34,2.320545,0,0,283.725248,-0.509169,-63.874482,,-10.717822,11.373144,-9.066213,10.731436,62.587871,37.226485,104.048886,79.862005
3.345,-0.429455,0,0,284.975248,-0.61484,-62.649049,,-10.717822,11.373144,-10.816213,9.731436,62.837871,38.226485,103.548886,80.362005
3.35,0.820545,0,0,286.725248,-0.932824,-62.078779,,-10.967822,11.373144,-10.816213,11.231436,63.837871,38.226485,104.048886,80.612005
3.355,0.320545,0,0,289.725248,-0.710895,-61.064071,,-10.467822,11.123144,-10.316213,9.981436,64.587871,39.226485,104.798886,81.112005
3.36,-1.429455,0,0,292.725248,-0.28342,-60.438255,,-11.717822,10.123144,-10.816213,10.981436,64.837871,40.476485,105.548886,81.862005
3.365,-0.679455,0,0,297.975248,-1.000802,-60.639024,,-11.467822,11.373144,-11.066213,10.481436,66.587871,40.476485,107.298886,83.612005
3.37,-0.679455,0,0,304.725248,-0.675901,-59.826199,,-10.717822,10.623144,-11.066213,10.481436,67.087871,42.976485,108.548886,86.112005
3.375,-2.179455,0,0,308.475248,0.22947,-58.924268,,-11.717822,11.123144,-11.316213,9.731436,67.587871,44.476485,110.048886,86.362005
3.38,-2.429455,0,0,314.225248,-0.655466,-58.703282,,-11.717822,10.623144,-11.316213,9.981436,69.337871,44.976485,111.298886,88.612005
3.385,-1.179455,0,0,319.975248,-0.931991,-57.143258,,-12.467822,11.373144,-11.066213,10.981436,70.837871,46.726485,112.048886,90.362005
3.39,-0.429455,0,0,330.475248,-0.716284,-57.936043,,-10.967822,11.373144,-11.816213,10.981436,72.087871,48.726485,115.548886,94.112005
3.395,0.570545,0,0,338.225248,-0.790787,-58.360673,,-12.467822,13.123144,-11.066213,10.981436,73.337871,49.976485,118.048886,96.862005
3.4,0.570545,0,0,348.475248,-1.032252,-58.03548,,-11.217822,12.373144,-10.816213,10.231436,76.337871,50.976485,121.798886,99.362005
3.405,-0.179455,0,0,359.725248,-0.059668,-57.867924,,-11.467822,12.373144,-12.066213,10.981436,76.337871,55.226485,124.548886,103.612005
3.41,0.820545,0,0,370.725248,-0.223789,-57.313478,,-12.217822,12.373144,-10.816213,11.481436,79.337871,56.726485,128.298886,106.362005
3.415,-0.429455,0,0,382.975248,-0.296923,-58.153049,,-12.217822,12.373144,-11.816213,11.231436,80.587871,59.226485,131.798886,111.362005
