ForceDecks Raw Data Export,1.0
Weight,84.54
Frequency,500
Recording Date,2024-03-11T15:40:01
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 4)"
Analysis Date,2024-03-11T15:40:27
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right
60.07,1.317413,1.842786
60.072,0.317413,0.842786
60.074,0.317413,2.842786
60.076,0.317413,1.842786
60.078,-0.682587,0.842786
60.08,0.317413,1.842786
60.082,2.317413,1.842786
60.084,2.317413,0.842786
60.086,-1.682587,0.842786
60.088,-1.682587,1.842786
60.09,0.317413,1.842786
60.092,2.317413,1.842786
60.094,1.317413,0.842786
60.096,1.317413,-0.157214
60.098,0.317413,0.842786
60.1,-0.682587,1.842786
60.102,0.317413,2.842786
60.104,1.317413,1.842786
60.106,0.317413,0.842786
60.108,-0.682587,0.842786
60.11,-1.682587,1.842786
60.112,1.317413,1.842786
60.114,0.317413,2.842786
60.116,1.317413,-0.157214
60.118,1.317413,1.842786
60.12,0.317413,0.842786
60.122,1.317413,-0.157214
60.124,0.317413,1.842786
60.126,1.317413,-0.157214
60.128,1.317413,-0.157214
60.13,0.317413,2.842786
60.132,0.317413,1.842786
60.134,1.317413,2.842786
60.136,1.317413,0.842786
60.138,0.317413,2.842786
60.14,-0.682587,0.842786
60.142,-0.682587,0.842786
60.144,-0.682587,0.842786
60.146,0.317413,0.842786
60.148,0.317413,-1.157214
60.15,0.317413,2.842786
60.152,-0.682587,1.842786
60.154,1.317413,1.842786
60.156,1.317413,1.842786
60.158,-0.682587,0.842786
60.16,0.317413,2.842786
60.162,-0.682587,1.842786
60.164,0.317413,1.842786
60.166,-0.682587,0.842786
60.168,-0.682587,0.842786
60.17,1.317413,1.842786
60.172,0.317413,3.842786
60.174,-0.682587,3.842786
60.176,2.317413,3.842786
60.178,-0.682587,1.842786
60.18,-0.682587,1.842786
60.182,-1.682587,2.842786
60.184,0.317413,1.842786
60.186,0.317413,-0.157214
60.188,1.317413,0.842786
60.19,-0.682587,1.842786
60.192,0.317413,0.842786
60.194,1.317413,1.842786
60.196,-2.682587,1.842786
60.198,-0.682587,0.842786
60.2,0.317413,2.842786
60.202,-0.682587,1.842786
60.204,1.317413,1.842786
