ForceDecks Raw Data Export,2.0
Weight,84.65
Frequency,200
Recording Date,2024-03-11T15:34:54
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 2)"
Analysis Date,2024-03-11T15:35:07
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
16.26,249.671114,-5.632019,-47.74431,-0.075406,0,0,,55.11891,42.059165,77.060325,75.432715,2.390371,-1.63051,1.785963,-2.62123
16.265,247.921114,-5.29968,-46.994787,-0.825406,0,0,,54.86891,42.059165,76.560325,74.432715,2.390371,-3.38051,3.035963,-2.87123
16.27,243.171114,-5.529656,-47.248108,-1.825406,0,0,,54.11891,40.809165,75.310325,72.932715,2.140371,-2.88051,2.535963,-3.62123
16.275,241.921114,-5.43112,-46.824148,0.424594,0,0,,53.86891,40.809165,74.810325,72.432715,3.640371,-2.38051,2.285963,-3.12123
16.28,236.671114,-6.461087,-45.814104,1.174594,0,0,,53.36891,39.809165,72.310325,71.182715,3.140371,-2.13051,2.535963,-2.37123
16.285,235.421114,-6.364776,-46.286205,-0.075406,0,0,,53.36891,39.059165,72.560325,70.432715,3.140371,-2.13051,2.535963,-3.62123
16.29,234.171114,-6.267436,-46.763347,0.674594,0,0,,52.86891,38.809165,72.310325,70.182715,2.640371,-2.88051,3.285963,-2.37123
16.295,235.421114,-6.103542,-45.828515,-0.825406,0,0,,52.11891,40.559165,71.310325,71.432715,3.140371,-3.88051,2.535963,-2.62123
16.3,237.171114,-6.447465,-45.263206,-0.575406,0,0,,53.11891,40.559165,71.810325,71.682715,2.390371,-3.88051,3.285963,-2.37123
16.305,237.671114,-6.433902,-41.994481,-0.825406,0,0,,54.11891,41.559165,71.060325,70.932715,2.390371,-3.38051,2.535963,-2.37123
16.31,239.171114,-7.936379,-41.280591,0.174594,0,0,,55.86891,40.809165,71.060325,71.432715,3.640371,-2.38051,2.035963,-3.12123
16.315,241.421114,-6.206593,-42.904284,2.174594,0,0,,54.61891,42.059165,72.560325,72.182715,3.640371,-2.13051,3.785963,-3.12123
16.32,242.421114,-7.703135,-41.838352,0.174594,0,0,,56.11891,41.559165,72.060325,72.682715,3.890371,-3.88051,3.285963,-3.12123
