ForceDecks Raw Data Export,2.0
Weight,84.65
Frequency,200
Recording Date,2024-03-11T15:34:54
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 1)"
Analysis Date,2024-03-11T15:35:07
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
3.22,0.671114,0,0,288.424594,-0.901392,-47.373734,,0.36891,-0.440835,0.810325,-0.067285,66.140371,46.36949,96.785963,79.12877
3.225,-0.328886,0,0,287.174594,-0.369927,-47.767544,,1.11891,-1.440835,-0.439675,0.432715,64.890371,46.86949,96.285963,79.12877
3.23,-1.078886,0,0,284.674594,-1.669393,-48.944041,,-0.38109,-0.440835,0.310325,-0.567285,64.890371,45.11949,95.285963,79.37877
3.235,2.421114,0,0,283.174594,-0.809514,-48.442287,,0.36891,0.809165,0.810325,0.432715,64.140371,45.61949,95.035963,78.37877
3.24,-1.078886,0,0,279.924594,-1.368168,-51.121803,,-0.63109,-0.440835,0.060325,-0.067285,62.390371,44.36949,94.035963,79.12877
3.245,-1.578886,0,0,277.674594,-1.268513,-50.953977,,-0.13109,-0.440835,-1.189675,0.182715,62.640371,43.36949,94.035963,77.62877
3.25,0.421114,0,0,276.174594,-0.384662,-50.450423,,0.36891,-0.440835,0.810325,-0.317285,61.890371,43.86949,93.785963,76.62877
3.255,0.421114,0,0,270.424594,-0.733971,-50.925472,,-0.88109,0.809165,0.310325,0.182715,60.390371,42.86949,91.535963,75.62877
3.26,2.171114,0,0,269.424594,-1.649752,-51.114487,,0.86891,0.809165,0.560325,-0.067285,60.890371,41.86949,91.035963,75.62877
3.265,0.671114,0,0,262.674594,-2.043341,-51.812681,,0.86891,-0.190835,0.060325,-0.067285,59.640371,40.11949,89.035963,73.87877
3.27,-0.078886,0,0,259.674594,-1.593278,-52.411269,,0.86891,0.059165,-0.689675,-0.317285,58.390371,39.86949,88.285963,73.12877
3.275,0.421114,0,0,257.174594,-1.608766,-52.501784,,0.61891,0.309165,0.060325,-0.567285,57.640371,39.61949,87.285963,72.62877
3.28,0.171114,0,0,255.174594,-2.103398,-53.757801,,0.11891,-0.440835,0.810325,-0.317285,57.140371,38.61949,86.785963,72.62877
3.285,0.421114,0,0,255.424594,-2.703278,-52.228722,,0.11891,0.059165,0.060325,0.182715,57.640371,39.11949,85.785963,72.87877
3.29,-0.078886,0,0,254.924594,-2.949828,-51.485813,,-0.38109,0.059165,-0.189675,0.432715,58.390371,38.61949,85.785963,72.12877
3.295,1.171114,0,0,256.924594,-2.926866,-52.762563,,0.11891,-0.190835,0.810325,0.432715,58.140371,38.86949,86.535963,73.37877
3.3,-0.828886,0,0,255.424594,-2.944054,-52.228722,,-0.13109,0.059165,0.060325,-0.817285,58.390371,38.36949,86.285963,72.37877
3.305,0.171114,0,0,256.674594,-3.768327,-53.443642,,-0.13109,0.309165,-0.189675,0.182715,58.640371,37.86949,86.535963,73.62877
3.31,-1.328886,0,0,253.424594,-3.695315,-53.916432,,0.11891,-1.190835,0.060325,-0.317285,57.890371,37.11949,85.785963,72.62877
3.315,-0.578886,0,0,254.424594,-2.23046,-52.857508,,0.11891,0.059165,-0.189675,-0.567285,57.140371,38.86949,86.035963,72.37877
3.32,0.171114,0,0,254.174594,-4.53127,-53.9693,,-0.13109,-0.190835,-0.439675,0.932715,58.390371,36.86949,85.535963,73.37877
3.325,0.921114,0,0,252.674594,-3.097794,-55.569002,,-0.63109,0.559165,0.060325,0.932715,56.640371,37.11949,86.035963,72.87877
3.33,-0.078886,0,0,249.424594,-2.028604,-54.781085,,0.36891,-0.440835,-0.689675,0.682715,56.140371,36.86949,85.785963,70.62877
3.335,0.171114,0,0,246.674594,-3.173143,-56.047016,,-0.63109,0.809165,0.060325,-0.067285,55.640371,35.61949,84.535963,70.87877
3.34,-0.078886,0,0,245.924594,-3.307859,-55.56073,,-0.38109,0.809165,-0.189675,-0.317285,55.640371,35.61949,84.035963,70.62877
