ForceDecks Raw Data Export,2.0
Weight,84.65
Frequency,200
Recording Date,2024-03-11T15:37:07
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 1)"
Analysis Date,2024-03-11T15:37:25
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
21.275,314.921114,-0.266424,-56.841219,0.424594,0,0,,68.86891,47.059165,110.060325,88.932715,2.390371,-2.13051,2.535963,-2.37123
21.28,312.921114,-0.268127,-57.548849,-2.075406,0,0,,68.36891,46.309165,109.810325,88.432715,1.890371,-2.88051,2.035963,-3.12123
21.285,308.671114,0.027043,-56.770375,-0.075406,0,0,,67.11891,46.559165,107.810325,87.182715,2.640371,-2.88051,2.535963,-2.37123
21.29,309.921114,0.126153,-56.36757,-1.575406,0,0,,67.61891,46.809165,108.310325,87.182715,1.890371,-3.38051,3.035963,-3.12123
21.295,305.421114,0.732096,-57.198076,-2.075406,0,0,,66.11891,46.059165,107.560325,85.682715,2.640371,-3.38051,2.285963,-3.62123
21.3,303.171114,0.838957,-57.444869,-1.325406,0,0,,65.36891,45.809165,106.810325,85.182715,1.890371,-2.63051,3.035963,-3.62123
21.305,299.671114,0.64353,-57.396673,-1.825406,0,0,,64.86891,45.059165,105.560325,84.182715,2.390371,-2.63051,2.035963,-3.62123
21.31,299.421114,1.362955,-56.185083,-2.325406,0,0,,64.11891,46.559165,104.810325,83.932715,1.640371,-3.38051,2.535963,-3.12123
21.315,298.421114,0.955353,-55.651223,-2.075406,0,0,,64.61891,46.059165,104.310325,83.432715,1.640371,-3.38051,2.535963,-2.87123
21.32,295.671114,1.484242,-55.257765,1.674594,0,0,,63.86891,46.059165,103.560325,82.182715,3.140371,-2.63051,4.285963,-3.12123
21.325,294.921114,2.009342,-55.580965,0.424594,0,0,,63.61891,45.809165,104.060325,81.432715,2.890371,-3.38051,4.535963,-3.62123
21.33,294.921114,2.426403,-55.580965,-0.825406,0,0,,62.86891,46.559165,103.810325,81.682715,2.640371,-3.13051,3.035963,-3.37123
21.335,296.921114,3.238562,-52.666346,-0.575406,0,0,,63.86891,48.309165,104.060325,80.682715,2.890371,-3.38051,3.535963,-3.62123
21.34,301.921114,2.981234,-51.794158,-1.075406,0,0,,65.36891,49.309165,105.310325,81.932715,2.890371,-3.38051,3.035963,-3.62123
21.345,300.421114,3.610257,-51.694103,-0.825406,0,0,,64.86891,49.309165,105.310325,80.932715,2.640371,-3.38051,3.535963,-3.62123
21.35,303.921114,3.973391,-49.326122,-0.575406,0,0,,65.61891,51.559165,105.310325,81.432715,3.140371,-3.38051,3.285963,-3.62123
21.355,306.171114,5.249834,-49.139597,-1.825406,0,0,,65.61891,52.559165,107.060325,80.932715,2.390371,-3.88051,3.285963,-3.62123
21.36,308.171114,5.814456,-50.219259,0.424594,0,0,,65.61891,52.559165,108.810325,81.182715,3.640371,-3.63051,4.035963,-3.62123
21.365,313.421114,5.815171,-48.518588,-0.825406,0,0,,66.86891,54.559165,109.560325,82.432715,2.390371,-3.38051,3.285963,-3.12123
21.37,317.421114,5.93564,-48.925542,-2.325406,0,0,,67.11891,55.559165,110.810325,83.932715,1.890371,-3.38051,2.785963,-3.62123
21.375,323.171114,6.686388,-47.554915,-1.825406,0,0,,68.86891,57.059165,113.310325,83.932715,3.140371,-4.38051,3.285963,-3.87123
21.38,328.921114,6.662988,-46.887382,-0.575406,0,0,,69.86891,58.809165,114.560325,85.682715,3.640371,-3.63051,3.285963,-3.87123
21.385,332.171114,7.616097,-46.26644,-0.325406,0,0,,69.86891,60.559165,115.810325,85.932715,3.640371,-4.13051,4.285963,-4.12123
21.39,337.421114,7.406464,-45.386905,-1.575406,0,0,,72.11891,61.059165,117.810325,86.432715,2.390371,-3.38051,3.535963,-4.12123
21.395,340.171114,6.713819,-45.495118,-0.325406,0,0,,72.36891,61.809165,117.560325,88.432715,2.390371,-2.38051,2.785963,-3.12123
21.4,340.421114,6.076584,-45.936487,-1.575406,0,0,,73.11891,60.809165,117.810325,88.682715,3.390371,-4.63051,4.035963,-4.37123
21.405,342.421114,5.502282,-43.150815,-0.575406,0,0,,74.86891,62.059165,116.810325,88.682715,2.390371,-3.38051,4.035963,-3.62123
21.41,344.421114,6.363133,-44.15162,-0.825406,0,0,,73.61891,63.309165,117.810325,89.682715,3.640371,-4.63051,4.035963,-3.87123
21.415,344.421114,6.006012,-44.15162,1.174594,0,0,,74.11891,62.809165,117.810325,89.682715,4.890371,-3.88051,3.785963,-3.62123
21.42,343.671114,4.855943,-44.404736,-0.325406,0,0,,74.36891,62.059165,116.560325,90.682715,3.890371,-4.13051,4.035963,-4.12123
