ForceDecks Raw Data Export,2.0
Weight,84.65
Frequency,200
Recording Date,2024-03-11T15:37:07
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 2)"
Analysis Date,2024-03-11T15:37:25
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
39.45,0.421114,0,0,241.924594,7.568541,-38.21852,,1.61891,-1.690835,1.560325,-1.067285,58.890371,40.61949,87.785963,54.62877
39.455,-0.578886,0,0,237.424594,8.489079,-37.127577,,2.11891,-2.190835,1.810325,-2.317285,57.140371,41.11949,85.785963,53.37877
39.46,-1.828886,0,0,234.674594,8.981655,-36.414785,,1.11891,-1.440835,1.560325,-3.067285,57.140371,40.36949,85.535963,51.62877
39.465,0.421114,0,0,235.924594,8.0217,-35.080065,,1.61891,-1.190835,1.310325,-1.317285,57.640371,41.11949,84.535963,52.62877
39.47,0.421114,0,0,235.674594,7.377826,-36.260273,,1.86891,-0.440835,1.310325,-2.317285,57.640371,40.36949,84.535963,53.12877
39.475,1.671114,0,0,238.174594,7.042171,-34.522469,,1.86891,-0.690835,2.060325,-1.567285,59.390371,40.61949,85.285963,52.87877
39.48,0.921114,0,0,240.174594,5.959274,-35.132255,,1.61891,-0.190835,1.060325,-1.567285,60.390371,40.11949,85.785963,53.87877
39.485,-0.578886,0,0,239.924594,8.144293,-34.495213,,1.11891,-1.940835,1.310325,-1.067285,59.390371,41.36949,86.535963,52.62877
39.49,-0.828886,0,0,243.924594,6.245849,-33.046073,,1.36891,-1.190835,1.310325,-2.317285,61.640371,41.61949,86.535963,54.12877
39.495,0.921114,0,0,248.924594,6.120393,-35.412331,,0.61891,-0.690835,2.060325,-1.067285,61.890371,42.11949,88.535963,56.37877
39.5,0.171114,0,0,248.174594,5.519365,-33.131413,,1.11891,-0.440835,0.560325,-1.067285,63.390371,41.61949,88.035963,55.12877
39.505,-0.078886,0,0,249.674594,5.978847,-33.795489,,1.86891,-1.940835,1.060325,-1.067285,62.890371,42.36949,88.535963,55.87877
39.51,-0.328886,0,0,249.424594,4.628719,-33.613365,,1.11891,-1.690835,1.310325,-1.067285,63.640371,41.61949,87.785963,56.37877
39.515,-2.078886,0,0,249.674594,5.239885,-34.227051,,-0.13109,-1.190835,0.560325,-1.317285,63.140371,41.86949,88.285963,56.37877
39.52,2.671114,0,0,251.674594,4.220793,-33.098792,,1.61891,-0.440835,1.810325,-0.317285,64.640371,41.86949,88.285963,56.87877
39.525,-0.578886,0,0,251.174594,5.698292,-33.16468,,1.11891,-1.440835,1.310325,-1.567285,63.640371,42.61949,88.785963,56.12877
39.53,0.921114,0,0,251.174594,5.453443,-33.16468,,0.61891,0.059165,1.560325,-1.317285,63.640371,42.61949,88.535963,56.37877
39.535,0.421114,0,0,249.924594,5.357681,-33.114988,,2.11891,-0.940835,1.060325,-1.817285,64.140371,41.61949,88.785963,55.37877
39.54,-1.078886,0,0,251.674594,5.442608,-32.242527,,0.61891,-1.190835,1.060325,-1.567285,64.640371,42.36949,89.035963,55.62877
39.545,0.671114,0,0,254.174594,5.872995,-31.925398,,1.11891,-0.940835,1.060325,-0.567285,64.640371,43.61949,89.535963,56.37877
39.55,0.421114,0,0,256.424594,5.461708,-33.115973,,0.61891,-1.190835,2.060325,-1.067285,65.390371,43.11949,90.785963,57.12877
39.555,0.671114,0,0,259.424594,4.924422,-32.317676,,1.86891,-1.440835,1.310325,-1.067285,66.390371,43.86949,91.035963,58.12877
39.56,1.671114,0,0,263.924594,5.07348,-32.58317,,0.86891,-0.690835,2.060325,-0.567285,67.640371,44.36949,93.035963,58.87877
39.565,-0.078886,0,0,262.674594,5.682949,-33.763734,,1.11891,-0.940835,1.310325,-1.567285,66.140371,44.61949,92.785963,59.12877
39.57,2.421114,0,0,265.924594,6.654203,-34.364065,,1.36891,0.309165,2.060325,-1.317285,66.640371,45.11949,95.035963,59.12877
39.575,-1.828886,0,0,268.924594,6.80866,-33.980715,,0.11891,-1.690835,0.060325,-0.317285,68.140371,45.11949,96.785963,58.87877
39.58,-0.578886,0,0,273.924594,6.684381,-36.113953,,0.61891,-1.190835,0.810325,-0.817285,67.890371,46.11949,98.285963,61.62877
39.585,1.171114,0,0,274.174594,7.01475,-37.456516,,0.61891,-0.940835,1.810325,-0.317285,67.390371,45.86949,99.035963,61.87877
39.59,0.421114,0,0,278.674594,5.135977,-35.691718,,1.11891,-0.440835,1.310325,-1.567285,70.640371,45.61949,99.535963,62.87877
39.595,0.421114,0,0,283.424594,7.111296,-36.42415,,0.86891,-0.440835,1.310325,-1.317285,69.390371,48.36949,101.535963,64.12877
39.6,-0.328886,0,0,285.924594,6.618935,-36.482521,,1.36891,-1.440835,1.060325,-1.317285,70.890371,47.86949,102.785963,64.37877
