ForceDecks Raw Data Export,1.0
Weight,53.79
Frequency,500
Recording Date,2024-03-06T11:35:35
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-11T16:58:40
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Left,Right,,Acceleration,Velocity,Height,Power,Impulse
48.546,260.905624,267.035272,,0,0,0,0,0
48.548,261.905624,268.035272,,0,0,0,0,0
48.55,260.905624,265.035272,,0,0,0,0,0
48.552,261.905624,268.035272,,0,0,0,0,0
48.554,260.905624,265.035272,,0,0,0,0,0
48.556,261.905624,265.035272,,0,0,0,0,0
48.558,261.905624,265.035272,,0,0,0,0,0
48.56,260.905624,264.035272,,0,0,0,0,0
48.562,258.905624,267.035272,,0,0,0,0,0
48.564,262.905624,267.035272,,0,0,0,0,0
48.566,261.905624,264.035272,,0,0,0,0,0
48.568,260.905624,267.035272,,0,0,0,0,0
48.57,261.905624,266.035272,,0,0,0,0,0
48.572,261.905624,265.035272,,0,0,0,0,0
48.574,261.905624,265.035272,,0,0,0,0,0
48.576,259.905624,264.035272,,0,0,0,0,0
48.578,262.905624,265.035272,,0,0,0,0,0
48.58,261.905624,264.035272,,0,0,0,0,0
48.582,262.905624,265.035272,,0,0,0,0,0
48.584,262.905624,264.035272,,0,0,0,0,0
48.586,261.905624,265.035272,,0,0,0,0,0
48.588,262.905624,266.035272,,0,0,0,0,0
48.59,261.905624,264.035272,,0,0,0,0,0
48.592,263.905624,265.035272,,0,0,0,0,0
48.594,265.905624,265.035272,,0,0,0,0,0
48.596,263.905624,265.035272,,0,0,0,0,0
48.598,265.905624,264.035272,,0,0,0,0,0
48.6,263.905624,265.035272,,0,0,0,0,0
48.602,266.905624,264.035272,,0,0,0,0,0
48.604,263.905624,264.035272,,0,0,0,0,0
48.606,263.905624,263.035272,,0,0,0,0,0
48.608,265.905624,264.035272,,0,0,0,0,0
48.61,265.905624,264.035272,,0,0,0,0,0
48.612,264.905624,262.035272,,0,0,0,0,0
48.614,267.905624,263.035272,,0,0,0,0,0
48.616,264.905624,263.035272,,0,0,0,0,0
48.618,266.905624,263.035272,,0,0,0,0,0
48.62,266.905624,265.035272,,0,0,0,0,0
48.622,266.905624,262.035272,,0,0,0,0,0
48.624,266.905624,263.035272,,0,0,0,0,0
48.626,265.905624,265.035272,,0,0,0,0,0
48.628,268.905624,263.035272,,0,0,0,0,0
48.63,267.905624,263.035272,,0,0,0,0,0
48.632,266.905624,263.035272,,0,0,0,0,0
48.634,266.905624,264.035272,,0,0,0,0,0
48.636,266.905624,260.035272,,0,0,0,0,0
48.638,265.905624,261.035272,,0,0,0,0,0
48.64,267.905624,261.035272,,0,0,0,0,0
48.642,266.905624,264.035272,,0,0,0,0,0
48.644,267.905624,262.035272,,0,0,0,0,0
48.646,267.905624,260.035272,,0,0,0,0,0
48.648,265.905624,261.035272,,0,0,0,0,0
48.65,267.905624,262.035272,,0,0,0,0,0
48.652,267.905624,259.035272,,0,0,0,0,0
48.654,267.905624,261.035272,,0,0,0,0,0
48.656,266.905624,259.035272,,0,0,0,0,0
48.658,266.905624,261.035272,,0,0,0,0,0
48.66,270.905624,258.035272,,0,0,0,0,0
48.662,266.905624,261.035272,,0,0,0,0,0
48.664,267.905624,258.035272,,0,0,0,0,0
48.666,268.905624,259.035272,,0,0,0,0,0
48.668,267.905624,260.035272,,0,0,0,0,0
48.67,268.905624,261.035272,,0,0,0,0,0
48.672,268.905624,259.035272,,0,0,0,0,0
48.674,267.905624,260.035272,,0,0,0,0,0
48.676,268.905624,261.035272,,0,0,0,0,0
48.678,269.905624,259.035272,,0,0,0,0,0
48.68,269.905624,259.035272,,0,0,0,0,0
48.682,269.905624,260.035272,,0,0,0,0,0
48.684,269.905624,259.035272,,0,0,0,0,0
48.686,270.905624,259.035272,,0,0,0,0,0
48.688,270.905624,258.035272,,0,0,0,0,0
48.69,269.905624,257.035272,,0,0,0,0,0
48.692,271.905624,257.035272,,0,0,0,0,0
48.694,269.905624,259.035272,,0,0,0,0,0
48.696,270.905624,257.035272,,0,0,0,0,0
48.698,268.905624,257.035272,,0,0,0,0,0
48.7,271.905624,258.035272,,0,0,0,0,0
48.702,270.905624,259.035272,,0,0,0,0,0
48.704,271.905624,258.035272,,0,0,0,0,0
48.706,270.905624,256.035272,,0,0,0,0,0
48.708,271.905624,256.035272,,0,0,0,0,0
48.71,271.905624,254.035272,,0,0,0,0,0
48.712,270.905624,259.035272,,0,0,0,0,0
48.714,274.905624,256.035272,,0,0,0,0,0
48.716,270.905624,256.035272,,0,0,0,0,0
48.718,273.905624,254.035272,,0,0,0,0,0
48.72,273.905624,254.035272,,0,0,0,0,0
48.722,273.905624,253.035272,,0,0,0,0,0
48.724,271.905624,252.035272,,0,0,0,0,0
48.726,273.905624,254.035272,,0,0,0,0,0
48.728,273.905624,253.035272,,0,0,0,0,0
48.73,274.905624,253.035272,,0,0,0,0,0
48.732,273.905624,251.035272,,0,0,0,0,0
48.734,274.905624,250.035272,,0,0,0,0,0
48.736,272.905624,250.035272,,0,0,0,0,0
48.738,276.905624,249.035272,,0,0,0,0,0
48.74,275.905624,251.035272,,0,0,0,0,0
48.742,276.905624,250.035272,,0,0,0,0,0
48.744,275.905624,251.035272,,0,0,0,0,0
48.746,278.905624,250.035272,,0,0,0,0,0
48.748,276.905624,251.035272,,0,0,0,0,0
48.75,278.905624,251.035272,,0,0,0,0,0
48.752,276.905624,248.035272,,0,0,0,0,0
48.754,277.905624,249.035272,,0,0,0,0,0
48.756,278.905624,249.035272,,0,0,0,0,0
48.758,277.905624,248.035272,,0,0,0,0,0
48.76,278.905624,250.035272,,0,0,0,0,0
48.762,279.905624,248.035272,,0,0,0,0,0
48.764,280.905624,248.035272,,0,0,0,0,0
48.766,280.905624,247.035272,,0,0,0,0,0
48.768,280.905624,246.035272,,0,0,0,0,0
48.77,280.905624,248.035272,,0,0,0,0,0
48.772,279.905624,247.035272,,0,0,0,0,0
48.774,282.905624,248.035272,,0,0,0,0,0
48.776,282.905624,246.035272,,0,0,0,0,0
48.778,282.905624,248.035272,,0,0,0,0,0
48.78,285.905624,248.035272,,0,0,0,0,0
48.782,283.905624,246.035272,,0,0,0,0,0
48.784,281.905624,245.035272,,0,0,0,0,0
48.786,282.905624,246.035272,,0,0,0,0,0
48.788,284.905624,245.035272,,0,0,0,0,0
48.79,283.905624,244.035272,,0,0,0,0,0
48.792,283.905624,243.035272,,0,0,0,0,0
48.794,283.905624,242.035272,,0,0,0,0,0
48.796,286.905624,244.035272,,0,0,0,0,0
48.798,285.905624,242.035272,,0,0,0,0,0
48.8,284.905624,243.035272,,0,0,0,0,0
48.802,284.905624,244.035272,,0,0,0,0,0
48.804,287.905624,245.035272,,0,0,0,0,0
48.806,283.905624,244.035272,,0,0,0,0,0
48.808,286.905624,243.035272,,0,0,0,0,0
48.81,284.905624,242.035272,,0,0,0,0,0
48.812,285.905624,246.035272,,0,0,0,0,0
48.814,285.905624,243.035272,,0,0,0,0,0
48.816,285.905624,244.035272,,0,0,0,0,0
48.818,286.905624,244.035272,,0,0,0,0,0
48.82,287.905624,245.035272,,0,0,0,0,0
48.822,286.905624,243.035272,,0,0,0,0,0
48.824,287.905624,242.035272,,0,0,0,0,0
48.826,287.905624,244.035272,,0,0,0,0,0
48.828,287.905624,245.035272,,0,0,0,0,0
48.83,288.905624,244.035272,,0,0,0,0,0
48.832,286.905624,243.035272,,0,0,0,0,0
48.834,288.905624,243.035272,,0,0,0,0,0
48.836,290.905624,244.035272,,0,0,0,0,0
48.838,291.905624,244.035272,,0,0,0,0,0
48.84,290.905624,243.035272,,0,0,0,0,0
48.842,290.905624,244.035272,,0,0,0,0,0
48.844,291.905624,244.035272,,0,0,0,0,0
48.846,292.905624,242.035272,,0,0,0,0,0
48.848,292.905624,246.035272,,0,0,0,0,0
48.85,293.905624,245.035272,,0,0,0,0,0
