ForceDecks Raw Data Export,2.0
Weight,53.79
Frequency,200
Recording Date,2024-03-06T11:40:55
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-06T11:41:14
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
39.62,0.888956,0,0,180.150485,14.425844,-51.778708,,0.328277,-0.074029,0.456311,0.178398,53.376214,15.056432,85.583131,26.134709
39.625,2.388956,0,0,179.150485,15.192941,-53.270631,,-0.171723,0.925971,0.456311,1.178398,52.376214,15.056432,85.583131,26.134709
39.63,-0.111044,0,0,176.650485,15.407955,-54.024529,,-0.171723,-0.074029,0.956311,-0.821602,51.126214,15.056432,84.333131,26.134709
39.635,0.888956,0,0,177.150485,13.975817,-53.872047,,0.828277,0.175971,-0.043689,-0.071602,52.626214,13.806432,84.833131,25.884709
39.64,-0.111044,0,0,175.400485,13.589317,-51.64515,,-0.421723,0.175971,0.456311,-0.321602,52.126214,14.556432,82.833131,25.884709
39.645,1.388956,0,0,175.900485,14.249948,-55.173721,,0.328277,0.175971,0.456311,0.428398,51.376214,14.056432,84.083131,26.384709
39.65,1.638956,0,0,175.650485,13.044785,-54.332098,,-0.671723,0.675971,1.206311,0.428398,51.876214,13.806432,83.333131,26.634709
39.655,1.888956,0,0,174.900485,15.386308,-53.024921,,0.078277,0.925971,0.206311,0.678398,51.126214,14.806432,83.583131,25.384709
39.66,2.138956,0,0,173.150485,13.588312,-53.249688,,0.078277,-0.074029,1.456311,0.678398,51.376214,13.806432,82.333131,25.634709
39.665,1.388956,0,0,173.650485,14.611666,-54.337362,,0.578277,-0.574029,0.956311,0.428398,51.376214,13.556432,83.583131,25.134709
39.67,1.638956,0,0,172.900485,13.074416,-54.88466,,0.328277,-0.074029,0.706311,0.678398,51.626214,12.806432,82.833131,25.634709
39.675,0.388956,0,0,172.400485,13.112334,-55.043838,,-0.421723,0.175971,0.206311,0.428398,50.876214,13.306432,82.083131,26.134709
39.68,0.138956,0,0,171.400485,13.547644,-54.10769,,-0.171723,-0.824029,0.456311,0.678398,50.876214,13.306432,81.833131,25.384709
39.685,0.888956,0,0,168.400485,14.519393,-56.991132,,0.078277,-0.324029,0.456311,0.678398,49.376214,12.556432,81.583131,24.884709
39.69,1.888956,0,0,167.150485,14.444007,-54.516499,,0.328277,0.675971,0.706311,0.178398,49.626214,12.806432,80.583131,24.134709
39.695,1.388956,0,0,167.150485,14.444007,-54.516499,,-0.421723,-0.574029,0.956311,1.428398,49.376214,13.056432,80.333131,24.384709
39.7,1.388956,0,0,165.900485,14.367485,-56.550976,,0.828277,0.175971,-0.293689,0.678398,49.126214,12.056432,80.583131,24.134709
39.705,-0.111044,0,0,163.400485,13.081802,-60.053887,,0.078277,-0.324029,0.456311,-0.321602,48.126214,10.806432,79.583131,24.884709
39.71,-0.611044,0,0,164.400485,14.872662,-57.06695,,-0.421723,-0.324029,0.706311,-0.571602,48.126214,12.306432,79.833131,24.134709
39.715,1.388956,0,0,165.400485,14.782743,-54.116131,,0.328277,0.425971,0.456311,0.178398,48.876214,13.056432,79.583131,23.884709
39.72,-1.111044,0,0,165.650485,14.574801,-58.262488,,-0.421723,0.175971,-0.293689,-0.571602,48.376214,12.056432,80.583131,24.634709
