ForceDecks Raw Data Export,1.0
Weight,53.84
Frequency,500
Recording Date,2024-03-18T16:36:40
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 2)"
Analysis Date,2024-03-18T16:37:05
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Left,Right
33.894,0.746753,-0.668831
33.896,1.746753,0.331169
33.898,0.746753,0.331169
33.9,1.746753,1.331169
33.902,0.746753,1.331169
33.904,0.746753,2.331169
33.906,2.746753,0.331169
33.908,0.746753,1.331169
33.91,1.746753,0.331169
33.912,1.746753,0.331169
33.914,-1.253247,-1.668831
33.916,1.746753,-1.668831
33.918,1.746753,0.331169
33.92,0.746753,-0.668831
33.922,1.746753,1.331169
33.924,-0.253247,-1.668831
33.926,-0.253247,-0.668831
33.928,-0.253247,1.331169
33.93,-0.253247,1.331169
33.932,0.746753,2.331169
33.934,0.746753,0.331169
33.936,-0.253247,1.331169
33.938,-0.253247,0.331169
33.94,2.746753,0.331169
33.942,-0.253247,1.331169
33.944,0.746753,2.331169
33.946,0.746753,1.331169
33.948,0.746753,-0.668831
33.95,-1.253247,-0.668831
33.952,0.746753,1.331169
33.954,0.746753,0.331169
33.956,0.746753,2.331169
33.958,1.746753,1.331169
33.96,0.746753,3.331169
33.962,1.746753,-0.668831
33.964,0.746753,2.331169
33.966,2.746753,0.331169
33.968,0.746753,0.331169
33.97,0.746753,2.331169
33.972,1.746753,1.331169
33.974,0.746753,2.331169
33.976,1.746753,1.331169
33.978,1.746753,-0.668831
33.98,2.746753,1.331169
33.982,0.746753,-0.668831
33.984,2.746753,-0.668831
33.986,0.746753,1.331169
33.988,1.746753,2.331169
33.99,1.746753,1.331169
33.992,-0.253247,1.331169
33.994,0.746753,3.331169
33.996,1.746753,1.331169
33.998,-0.253247,1.331169
34,1.746753,0.331169
34.002,-1.253247,0.331169
34.004,-0.253247,-1.668831
34.006,1.746753,-1.668831
34.008,-0.253247,2.331169
34.01,1.746753,2.331169
34.012,0.746753,0.331169
34.014,1.746753,1.331169
34.016,-1.253247,1.331169
34.018,1.746753,0.331169
34.02,1.746753,0.331169
34.022,0.746753,-1.668831
34.024,2.746753,1.331169
34.026,1.746753,1.331169
34.028,1.746753,-0.668831
34.03,1.746753,2.331169
34.032,1.746753,0.331169
34.034,-0.253247,2.331169
34.036,0.746753,-0.668831
34.038,-0.253247,0.331169
34.04,-0.253247,2.331169
34.042,1.746753,-2.668831
34.044,5.746753,1.331169
34.046,0.746753,1.331169
34.048,1.746753,1.331169
34.05,-0.253247,2.331169
34.052,-0.253247,-0.668831
34.054,0.746753,0.331169
34.056,-0.253247,0.331169
34.058,-0.253247,1.331169
34.06,-0.253247,0.331169
34.062,-2.253247,1.331169
34.064,-0.253247,0.331169
34.066,1.746753,2.331169
34.068,-0.253247,1.331169
34.07,0.746753,0.331169
34.072,-1.253247,-0.668831
34.074,2.746753,0.331169
34.076,-0.253247,2.331169
34.078,-0.253247,0.331169
34.08,0.746753,1.331169
34.082,-1.253247,1.331169
34.084,0.746753,-0.668831
34.086,2.746753,0.331169
34.088,0.746753,1.331169
34.09,1.746753,0.331169
34.092,1.746753,0.331169
34.094,1.746753,0.331169
34.096,2.746753,-0.668831
34.098,-1.253247,0.331169
34.1,2.746753,1.331169
34.102,2.746753,-0.668831
34.104,1.746753,1.331169
34.106,1.746753,1.331169
34.108,-0.253247,2.331169
34.11,1.746753,1.331169
34.112,2.746753,-0.668831
34.114,1.746753,-0.668831
34.116,-1.253247,0.331169
34.118,1.746753,1.331169
34.12,0.746753,0.331169
34.122,1.746753,2.331169
34.124,0.746753,-1.668831
34.126,-0.253247,0.331169
34.128,-0.253247,1.331169
34.13,0.746753,1.331169
34.132,-0.253247,0.331169
34.134,0.746753,1.331169
34.136,0.746753,0.331169
34.138,-0.253247,-0.668831
34.14,-0.253247,1.331169
34.142,0.746753,0.331169
34.144,-0.253247,0.331169
34.146,0.746753,0.331169
34.148,1.746753,0.331169
34.15,-0.253247,3.331169
34.152,1.746753,1.331169
34.154,2.746753,1.331169
34.156,-0.253247,-0.668831
34.158,-0.253247,-1.668831
34.16,0.746753,0.331169
34.162,2.746753,-1.668831
34.164,0.746753,2.331169
34.166,-0.253247,1.331169
34.168,0.746753,0.331169
34.17,1.746753,-0.668831
34.172,1.746753,-0.668831
34.174,1.746753,1.331169
34.176,1.746753,-1.668831
34.178,2.746753,1.331169
34.18,0.746753,1.331169
34.182,0.746753,1.331169
34.184,2.746753,1.331169
34.186,1.746753,-1.668831
34.188,-1.253247,3.331169
34.19,0.746753,2.331169
34.192,-1.253247,0.331169
34.194,1.746753,3.331169
34.196,-0.253247,0.331169
34.198,0.746753,0.331169
34.2,-0.253247,1.331169
34.202,-0.253247,0.331169
34.204,0.746753,0.331169
34.206,-1.253247,0.331169
34.208,0.746753,-0.668831
34.21,0.746753,1.331169
34.212,1.746753,2.331169
34.214,1.746753,-0.668831
34.216,0.746753,-0.668831
34.218,0.746753,0.331169
34.22,-0.253247,0.331169
34.222,0.746753,0.331169
34.224,1.746753,0.331169
34.226,0.746753,2.331169
34.228,-1.253247,1.331169
34.23,-1.253247,0.331169
34.232,-2.253247,-0.668831
34.234,2.746753,-0.668831
34.236,-0.253247,1.331169
34.238,3.746753,1.331169
34.24,-1.253247,1.331169
34.242,-0.253247,0.331169
34.244,0.746753,0.331169
34.246,1.746753,-0.668831
34.248,2.746753,2.331169
34.25,1.746753,-1.668831
34.252,0.746753,0.331169
34.254,2.746753,1.331169
34.256,-0.253247,0.331169
34.258,0.746753,1.331169
34.26,0.746753,-0.668831
34.262,-1.253247,1.331169
34.264,1.746753,0.331169
34.266,0.746753,0.331169
34.268,1.746753,-0.668831
34.27,2.746753,2.331169
34.272,-0.253247,-0.668831
34.274,2.746753,-0.668831
34.276,-0.253247,0.331169
34.278,-1.253247,2.331169
34.28,-2.253247,1.331169
34.282,-0.253247,0.331169
34.284,1.746753,0.331169
34.286,1.746753,2.331169
34.288,-0.253247,1.331169
34.29,1.746753,1.331169
34.292,-1.253247,2.331169
34.294,-0.253247,2.331169
34.296,0.746753,0.331169
34.298,0.746753,-0.668831
34.3,2.746753,0.331169
34.302,0.746753,0.331169
34.304,-1.253247,0.331169
34.306,0.746753,1.331169
34.308,-0.253247,2.331169
34.31,0.746753,0.331169
34.312,0.746753,-0.668831
34.314,0.746753,0.331169
34.316,0.746753,0.331169
34.318,-0.253247,2.331169
34.32,-0.253247,-0.668831
34.322,-1.253247,1.331169
34.324,1.746753,0.331169
34.326,0.746753,2.331169
34.328,-0.253247,-1.668831
34.33,1.746753,1.331169
34.332,1.746753,-0.668831
34.334,2.746753,1.331169
34.336,0.746753,2.331169
34.338,0.746753,0.331169
34.34,-0.253247,0.331169
34.342,-0.253247,0.331169
34.344,-0.253247,0.331169
34.346,0.746753,1.331169
34.348,0.746753,0.331169
34.35,-0.253247,-1.668831
34.352,0.746753,0.331169
34.354,2.746753,1.331169
34.356,2.746753,2.331169
34.358,1.746753,0.331169
34.36,-0.253247,-0.668831
34.362,0.746753,-0.668831
34.364,1.746753,1.331169
34.366,-0.253247,-0.668831
34.368,1.746753,0.331169
34.37,3.746753,1.331169
34.372,-0.253247,-0.668831
34.374,1.746753,1.331169
34.376,0.746753,0.331169
34.378,2.746753,1.331169
34.38,0.746753,-0.668831
34.382,1.746753,-0.668831
34.384,3.746753,0.331169
34.386,2.746753,0.331169
34.388,2.746753,1.331169
34.39,-0.253247,0.331169
34.392,0.746753,-0.668831
34.394,2.746753,1.331169
34.396,0.746753,2.331169
34.398,-0.253247,2.331169
34.4,-0.253247,0.331169
