ForceDecks Raw Data Export,2.0
Frequency,200
Recording Date,2024-03-18T16:30:58
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 1)"
Analysis Date,2024-03-18T16:31:21
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
3.16,278.540625,43.386227,-32.239533,250.29625,-51.479072,-34.594166,,-1.704375,120.139375,68.25625,91.849375,87.35375,17.704375,55.065625,90.1725
3.165,276.040625,45.11592,-34.092879,251.29625,-50.540025,-34.027726,,-3.704375,119.889375,68.75625,91.099375,87.35375,18.454375,55.565625,89.9225
3.17,279.790625,43.522105,-33.828491,252.54625,-50.411633,-34.07263,,-1.454375,119.389375,70.00625,91.849375,87.85375,18.454375,56.065625,90.1725
3.175,275.790625,43.707348,-34.709826,251.29625,-51.518949,-34.027726,,-2.204375,117.889375,69.00625,91.099375,87.85375,17.954375,55.065625,90.4225
3.18,278.040625,43.90663,-33.072576,252.29625,-50.095944,-32.184545,,-1.954375,119.639375,69.00625,91.349375,87.85375,19.454375,55.315625,89.6725
3.185,277.290625,42.805547,-32.967738,249.79625,-50.843512,-32.938004,,-1.454375,118.889375,68.00625,91.849375,87.35375,18.454375,54.815625,89.1725
3.19,276.540625,44.144787,-32.862331,249.29625,-50.698792,-33.436283,,-1.454375,118.639375,69.25625,90.099375,87.35375,17.954375,55.315625,88.6725
3.195,276.790625,43.327251,-34.195142,248.79625,-50.55349,-33.070394,,-2.204375,118.639375,68.50625,91.849375,87.10375,18.204375,55.065625,88.4225
3.2,275.790625,44.822324,-33.928436,250.79625,-50.150346,-32.806671,,-2.204375,118.389375,69.75625,89.849375,87.35375,18.954375,55.315625,89.1725
3.205,277.790625,44.278229,-32.520517,251.54625,-51.345503,-34.208083,,-1.704375,119.639375,69.25625,90.599375,88.10375,17.704375,55.565625,90.1725
3.21,278.790625,43.457619,-33.17685,251.29625,-50.295294,-32.741396,,-1.454375,119.389375,69.25625,91.599375,87.35375,19.204375,55.065625,89.6725
3.215,276.790625,44.216009,-31.859441,250.79625,-51.62166,-34.095566,,-2.204375,120.139375,68.00625,90.849375,87.35375,18.204375,54.565625,90.6725
3.22,279.040625,43.528884,-34.112487,248.54625,-50.975498,-34.18746,,-1.704375,119.139375,69.75625,91.849375,86.85375,17.704375,55.065625,88.9225
3.225,279.040625,43.528884,-33.726342,250.29625,-50.987655,-32.872206,,-1.954375,119.639375,69.25625,92.099375,87.85375,18.204375,55.065625,89.1725
3.23,276.040625,45.11592,-34.092879,248.04625,-50.334439,-32.953189,,-3.204375,119.389375,69.25625,90.599375,86.85375,18.204375,55.065625,87.9225
