ForceDecks Raw Data Export,2.0
Weight,53.86
Frequency,200
Recording Date,2024-03-18T16:33:01
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 2)"
Analysis Date,2024-03-18T16:33:14
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
16.29,210.843447,24.543362,-34.736017,0.477549,0,0,,-1.413835,89.84284,36.614684,85.799757,2.779733,-2.591626,2.260316,-1.970874
16.295,211.093447,25.242645,-36.48141,1.727549,0,0,,-1.413835,89.09284,38.114684,85.299757,2.779733,-2.341626,2.510316,-1.220874
16.3,209.093447,24.89584,-36.830359,-0.022451,0,0,,-2.163835,88.84284,36.864684,85.549757,2.529733,-2.091626,2.260316,-2.720874
16.305,209.343447,23.250343,-35.499614,-1.272451,0,0,,-0.913835,88.34284,36.114684,85.799757,2.279733,-3.091626,2.510316,-2.970874
16.31,210.343447,24.016945,-36.867617,-0.772451,0,0,,-1.413835,88.59284,37.114684,86.049757,2.279733,-3.091626,3.010316,-2.970874
16.315,209.343447,25.600548,-37.043728,1.227549,0,0,,-2.413835,89.09284,37.364684,85.299757,3.529733,-1.591626,1.760316,-2.470874
16.32,209.593447,25.129875,-37.770678,-0.022451,0,0,,-2.163835,88.59284,37.614684,85.549757,2.029733,-2.341626,1.760316,-1.470874
16.325,209.343447,24.719222,-37.558432,-0.272451,0,0,,-2.163835,88.59284,37.114684,85.799757,2.529733,-1.841626,2.010316,-2.970874
16.33,208.843447,24.189445,-37.648352,-0.022451,0,0,,-1.913835,88.09284,36.864684,85.799757,2.529733,-2.091626,1.760316,-2.220874
16.335,209.343447,25.012997,-35.499614,-0.272451,0,0,,-1.663835,89.09284,36.864684,85.049757,2.529733,-2.591626,2.260316,-2.470874
16.34,208.593447,25.54518,-36.402086,-2.022451,0,0,,-2.413835,89.09284,36.864684,85.049757,2.029733,-3.591626,1.760316,-2.220874
16.345,208.593447,24.955516,-37.951752,-1.272451,0,0,,-2.163835,88.09284,37.364684,85.299757,2.029733,-3.091626,1.510316,-1.720874
16.35,208.843447,24.483924,-37.132416,0.727549,0,0,,-1.913835,88.34284,36.864684,85.549757,2.779733,-1.841626,2.010316,-2.220874
16.355,210.343447,25.47884,-36.35536,-0.772451,0,0,,-2.413835,89.84284,37.114684,85.799757,3.029733,-3.341626,2.010316,-2.470874
16.36,209.593447,23.956174,-37.256588,-0.772451,0,0,,-1.663835,88.34284,36.864684,86.049757,2.279733,-2.341626,1.510316,-2.220874
16.365,210.343447,25.186461,-34.818587,0.477549,0,0,,-1.413835,89.59284,37.114684,85.049757,2.529733,-2.591626,2.510316,-1.970874
16.37,208.593447,23.776188,-37.435196,0.227549,0,0,,-0.913835,87.09284,37.364684,85.049757,2.529733,-2.841626,3.010316,-2.470874
16.375,209.093447,25.484094,-34.769079,0.727549,0,0,,-1.663835,89.34284,36.864684,84.549757,1.779733,-2.091626,2.260316,-1.220874
16.38,211.593447,24.02039,-38.432129,-1.022451,0,0,,-0.913835,87.84284,38.614684,86.049757,2.279733,-3.591626,2.760316,-2.470874
16.385,210.593447,24.718514,-37.079675,0.477549,0,0,,-1.663835,88.84284,37.614684,85.799757,2.529733,-2.091626,2.510316,-2.470874
16.39,210.843447,23.668305,-35.24706,-0.772451,0,0,,-0.663835,88.84284,36.864684,85.799757,2.529733,-2.091626,1.760316,-2.970874
16.395,212.843447,25.179573,-39.978265,-0.522451,0,0,,-2.413835,89.09284,39.114684,87.049757,2.529733,-2.341626,1.010316,-1.720874
16.4,212.593447,24.485971,-38.758187,-1.522451,0,0,,-1.163835,88.34284,39.114684,86.299757,1.529733,-2.341626,1.760316,-2.470874
16.405,211.593447,24.311041,-37.413667,-1.772451,0,0,,-1.663835,89.09284,37.614684,86.549757,1.779733,-2.091626,1.510316,-2.970874
16.41,210.093447,24.484614,-38.706522,-0.272451,0,0,,-2.663835,88.84284,37.114684,86.799757,2.529733,-2.591626,2.760316,-2.970874
16.415,211.843447,25.298432,-37.623829,1.477549,0,0,,-1.663835,89.09284,38.614684,85.799757,2.279733,-0.591626,1.510316,-1.720874
16.42,209.093447,24.601713,-37.860998,0.477549,0,0,,-2.163835,88.34284,37.114684,85.799757,2.529733,-1.341626,1.760316,-2.470874
16.425,210.343447,24.601703,-37.379875,-0.522451,0,0,,-1.663835,88.59284,37.614684,85.799757,2.529733,-2.341626,2.510316,-3.220874
16.43,211.593447,24.311041,-36.904435,-0.022451,0,0,,-1.163835,88.84284,37.864684,86.049757,2.029733,-1.841626,1.760316,-1.970874
16.435,211.093447,25.242645,-37.502285,-1.772451,0,0,,-1.913835,89.09284,38.114684,85.799757,2.279733,-3.341626,2.260316,-2.970874
16.44,211.093447,24.951305,-35.970973,0.227549,0,0,,-1.163835,89.09284,37.864684,85.299757,2.529733,-1.591626,1.760316,-2.470874
16.445,212.843447,23.734849,-38.459543,1.477549,0,0,,-1.163835,88.59284,38.364684,87.049757,2.279733,-2.591626,2.260316,-0.470874
16.45,209.343447,25.306773,-39.102546,-0.272451,0,0,,-2.663835,88.34284,37.864684,85.799757,2.529733,-2.341626,2.260316,-2.720874
16.455,210.343447,24.016945,-37.892132,0.727549,0,0,,-1.163835,87.84284,37.864684,85.799757,2.029733,-1.841626,2.260316,-1.720874
