ForceDecks Raw Data Export,2.0
Weight,53.86
Frequency,200
Recording Date,2024-03-18T16:33:01
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 1)"
Analysis Date,2024-03-18T16:33:14
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
3.17,-0.406553,0,0,164.477549,-3.470023,-36.163523,,-1.163835,0.84284,-0.385316,0.299757,51.029733,17.408374,62.510316,33.529126
3.175,-1.156553,0,0,162.727549,-3.318374,-37.545657,,-1.663835,0.59284,-0.135316,0.049757,49.779733,17.408374,61.760316,33.779126
3.18,1.843447,0,0,162.727549,-4.074239,-38.869956,,-0.913835,0.84284,0.364684,1.549757,49.779733,16.908374,61.760316,34.279126
3.185,-0.406553,0,0,161.727549,-2.198085,-37.111567,,-0.163835,0.34284,-1.135316,0.549757,49.279733,17.658374,61.760316,33.029126
3.19,0.343447,0,0,159.477549,-5.121353,-38.648623,,-0.913835,1.59284,-1.135316,0.799757,49.779733,15.658374,60.760316,33.279126
3.195,0.093447,0,0,161.227549,-2.967799,-39.231588,,-0.913835,0.34284,0.364684,0.299757,49.279733,16.658374,62.010316,33.279126
3.2,0.343447,0,0,159.977549,-7.027492,-38.527829,,-0.913835,1.09284,0.114684,0.049757,50.279733,15.408374,60.010316,34.279126
3.205,-0.656553,0,0,158.977549,-4.363766,-38.092408,,-0.663835,0.09284,-1.385316,1.299757,49.279733,16.158374,60.510316,33.029126
3.21,-0.156553,0,0,154.977549,-5.666891,-37.685057,,-0.913835,1.09284,-0.885316,0.549757,48.779733,15.158374,58.760316,32.279126
3.215,0.593447,0,0,153.977549,-3.307241,-40.029132,,-1.663835,1.09284,-0.135316,1.299757,47.779733,14.908374,60.010316,31.279126
3.22,0.343447,0,0,153.477549,-4.119436,-37.351311,,0.086165,0.59284,-0.885316,0.549757,47.779733,15.658374,58.510316,31.529126
3.225,1.093447,0,0,151.477549,-4.579827,-37.133144,,-0.163835,0.84284,0.114684,0.299757,46.779733,15.908374,57.010316,31.779126
3.23,1.093447,0,0,150.977549,-2.965612,-40.110849,,-0.413835,1.09284,-0.635316,1.049757,46.279733,15.158374,58.510316,31.029126
3.235,-0.406553,0,0,147.977549,-3.856943,-40.92403,,-1.163835,0.34284,-0.135316,0.549757,45.279733,14.658374,57.010316,31.029126
3.24,0.843447,0,0,148.477549,-4.672362,-41.511917,,0.336165,0.34284,-0.385316,0.549757,46.029733,13.908374,57.510316,31.029126
3.245,0.843447,0,0,147.977549,-5.519357,-39.467728,,-1.913835,1.34284,0.364684,1.049757,46.279733,14.158374,56.510316,31.029126
3.25,1.343447,0,0,145.977549,-3.909785,-39.270338,,-0.163835,1.09284,-0.135316,0.549757,45.279733,14.408374,56.260316,30.029126
3.255,1.093447,0,0,147.977549,-6.350564,-40.195879,,0.086165,0.34284,-0.135316,0.799757,46.029733,14.158374,56.010316,31.779126
3.26,-0.656553,0,0,150.977549,-3.780303,-40.824531,,-0.663835,0.59284,-0.635316,0.049757,46.279733,14.908374,58.260316,31.529126
3.265,-2.656553,0,0,149.727549,-4.427982,-44.403737,,-1.913835,-0.15716,-1.385316,0.799757,45.279733,14.158374,58.010316,32.279126
3.27,-0.906553,0,0,149.977549,-4.625632,-43.252058,,-1.163835,-0.40716,0.364684,0.299757,45.529733,14.408374,57.760316,32.279126
3.275,0.093447,0,0,154.227549,-3.501261,-43.10814,,0.336165,0.84284,-1.135316,0.049757,46.279733,15.408374,59.510316,33.029126
3.28,0.843447,0,0,151.477549,-4.173826,-42.11243,,-0.413835,1.34284,-0.885316,0.799757,46.029733,14.908374,58.260316,32.279126
3.285,0.843447,0,0,153.477549,-4.920856,-41.563654,,0.336165,0.59284,-1.385316,1.299757,47.029733,14.908374,58.760316,32.779126
3.29,1.343447,0,0,151.227549,-5.197406,-43.250801,,0.336165,1.34284,-0.885316,0.549757,46.529733,13.908374,58.510316,32.279126
3.295,-0.156553,0,0,149.977549,-3.395448,-43.970499,,-0.663835,0.84284,-0.885316,0.549757,45.529733,14.158374,58.760316,31.529126
3.3,1.343447,0,0,150.227549,-2.775729,-42.821458,,-0.913835,0.84284,-0.885316,2.299757,45.279733,14.908374,58.510316,31.529126
3.305,0.093447,0,0,151.227549,-5.604077,-41.825797,,-0.913835,0.84284,0.114684,0.049757,46.779733,14.158374,58.010316,32.279126
3.31,1.093447,0,0,149.227549,-4.854941,-40.942257,,-0.413835,1.59284,-0.385316,0.299757,45.529733,14.908374,56.760316,32.029126
3.315,-2.406553,0,0,147.477549,-4.704044,-43.254636,,-1.663835,0.34284,-0.385316,-0.700243,45.529733,13.408374,57.510316,31.029126
3.32,0.093447,0,0,147.477549,-5.955082,-44.715875,,-0.913835,-0.40716,0.614684,0.799757,45.029733,13.408374,56.760316,32.279126
3.325,-1.906553,0,0,146.727549,-3.261084,-40.171139,,-1.663835,0.84284,-1.385316,0.299757,45.029733,14.658374,56.760316,30.279126
