ForceDecks Raw Data Export,2.0
Weight,53.86
Frequency,200
Recording Date,2024-03-18T16:34:46
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 4)"
Analysis Date,2024-03-18T16:35:04
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
57.335,167.093447,-2.339667,-55.760635,-0.022451,0,0,,-1.913835,63.84284,18.114684,87.049757,2.529733,-3.091626,3.760316,-3.220874
57.34,169.093447,-1.948289,-56.375554,-1.022451,0,0,,-1.663835,64.09284,19.114684,87.549757,2.529733,-3.091626,3.260316,-3.720874
57.345,169.343447,-1.763829,-57.246748,1.227549,0,0,,-2.163835,64.34284,19.114684,88.049757,2.779733,-2.841626,3.760316,-2.470874
57.35,167.843447,-2.512418,-55.832455,2.477549,0,0,,-1.413835,63.59284,18.614684,87.049757,3.529733,-2.341626,3.760316,-2.470874
57.355,168.843447,-1.40481,-55.501779,-0.522451,0,0,,-1.663835,64.34284,19.114684,87.049757,2.779733,-2.591626,3.010316,-3.720874
57.36,169.593447,-1.942545,-56.209346,-0.522451,0,0,,-1.663835,64.34284,19.114684,87.799757,3.279733,-2.341626,3.010316,-4.470874
57.365,164.843447,-2.558142,-58.809506,-0.022451,0,0,,-3.163835,63.09284,17.614684,87.299757,3.279733,-2.341626,2.760316,-3.720874
57.37,169.093447,0.59764,-55.10111,-0.772451,0,0,,-2.913835,65.84284,19.114684,87.049757,3.279733,-3.591626,2.510316,-2.970874
57.375,167.343447,0.052629,-57.930931,-0.022451,0,0,,-3.163835,64.34284,19.364684,86.799757,3.279733,-2.091626,2.760316,-3.970874
57.38,167.343447,-2.152417,-56.64316,0.477549,0,0,,-2.413835,64.09284,18.114684,87.549757,3.529733,-2.091626,3.010316,-3.970874
57.385,168.093447,-3.057484,-55.428911,-0.772451,0,0,,-1.413835,63.84284,18.114684,87.549757,2.779733,-2.841626,2.510316,-3.220874
57.39,167.843447,-2.512418,-55.832455,-1.272451,0,0,,-2.163835,64.34284,17.864684,87.799757,2.279733,-2.091626,1.760316,-3.220874
57.395,168.343447,0.052316,-56.306686,0.227549,0,0,,-3.413835,65.59284,18.614684,87.549757,3.279733,-3.091626,3.510316,-3.470874
57.4,170.843447,-2.828279,-56.744124,0.227549,0,0,,-1.413835,64.34284,19.114684,88.799757,2.779733,-2.091626,3.010316,-3.470874
57.405,171.093447,-0.487704,-58.865414,-0.272451,0,0,,-2.913835,65.09284,20.114684,88.799757,2.529733,-1.841626,2.510316,-3.470874
57.41,170.593447,-3.012677,-57.14309,0.227549,0,0,,-1.663835,64.34284,18.864684,89.049757,2.779733,-1.841626,2.510316,-3.220874
57.415,171.093447,-1.206609,-55.086778,1.727549,0,0,,-2.163835,65.84284,18.864684,88.549757,3.029733,-1.841626,3.760316,-3.220874
57.42,169.593447,-2.305177,-57.480031,1.727549,0,0,,-2.913835,65.09284,18.114684,89.299757,2.279733,-1.341626,3.010316,-2.220874
