Frame,CentreOfMass_X,CentreOfMass_Y,CentreOfMass_Z,LAJC_X,LAJC_Y,LAJC_Z,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LEJC_X,LEJC_Y,LEJC_Z,LElbowAngles_X,LElbowAngles_Y,LElbowAngles_Z,LHJC_X,LHJC_Y,LHJC_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKJC_X,LKJC_Y,LKJC_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,LPelvisAngles_X,LPelvisAngles_Y,LPelvisAngles_Z,LSJC_X,LSJC_Y,LSJC_Z,LShoulderAngles_X,LShoulderAngles_Y,LShoulderAngles_Z,LSpineAngles_X,LSpineAngles_Y,LSpineAngles_Z,LThoraxAngles_X,LThoraxAngles_Y,LThoraxAngles_Z,LWJC_X,LWJC_Y,LWJC_Z,LWristAngles_X,LWristAngles_Y,LWristAngles_Z,RAJC_X,RAJC_Y,RAJC_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,REJC_X,REJC_Y,REJC_Z,RElbowAngles_X,RElbowAngles_Y,RElbowAngles_Z,RHJC_X,RHJC_Y,RHJC_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKJC_X,RKJC_Y,RKJC_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z,RPelvisAngles_X,RPelvisAngles_Y,RPelvisAngles_Z,RSJC_X,RSJC_Y,RSJC_Z,RShoulderAngles_X,RShoulderAngles_Y,RShoulderAngles_Z,RSpineAngles_X,RSpineAngles_Y,RSpineAngles_Z,RThoraxAngles_X,RThoraxAngles_Y,RThoraxAngles_Z,RWJC_X,RWJC_Y,RWJC_Z,RWristAngles_X,RWristAngles_Y,RWristAngles_Z,LFHD_X,LFHD_Y,LFHD_Z,RFHD_X,RFHD_Y,RFHD_Z,LBHD_X,LBHD_Y,LBHD_Z,RBHD_X,RBHD_Y,RBHD_Z,C7_X,C7_Y,C7_Z,T10_X,T10_Y,T10_Z,CLAV_X,CLAV_Y,CLAV_Z,STRN_X,STRN_Y,STRN_Z,RBAK_X,RBAK_Y,RBAK_Z,LSHO_X,LSHO_Y,LSHO_Z,LUPA_X,LUPA_Y,LUPA_Z,LELB_X,LELB_Y,LELB_Z,LFRM_X,LFRM_Y,LFRM_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,LFIN_X,LFIN_Y,LFIN_Z,RSHO_X,RSHO_Y,RSHO_Z,RUPA_X,RUPA_Y,RUPA_Z,RELB_X,RELB_Y,RELB_Z,RFRM_X,RFRM_Y,RFRM_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,RFIN_X,RFIN_Y,RFIN_Z,LASI_X,LASI_Y,LASI_Z,RASI_X,RASI_Y,RASI_Z,LPSI_X,LPSI_Y,LPSI_Z,RPSI_X,RPSI_Y,RPSI_Z,LTHI_X,LTHI_Y,LTHI_Z,LKNE_X,LKNE_Y,LKNE_Z,LTIB_X,LTIB_Y,LTIB_Z,LANK_X,LANK_Y,LANK_Z,LHEE_X,LHEE_Y,LHEE_Z,LTOE_X,LTOE_Y,LTOE_Z,RTHI_X,RTHI_Y,RTHI_Z,RKNE_X,RKNE_Y,RKNE_Z,RTIB_X,RTIB_Y,RTIB_Z,RANK_X,RANK_Y,RANK_Z,RHEE_X,RHEE_Y,RHEE_Z,RTOE_X,RTOE_Y,RTOE_Z
1,237.193,941.335,1052.08,185.05,911.544,108.224,3.17657,-6.77293,29.2904,-184.247,908.879,1287.4,94.7818,-2.38542e-15,-3.33322e-12,138.815,973.315,926.861,2.58196,4.14814,8.81569,159.717,951.173,527.825,1.91267,1.20464,-49.126,4.84406,1.59756,11.8846,57.9929,965.633,1478.2,-6.64517,50.442,76.0356,6.3132,2.04373,7.63443,11.2913,0.0288862,4.27129,7.72448,924.744,1077.93,-74.5561,134.045,0.423493,373.167,825.853,111.31,10.6782,-3.00946,14.3362,592.54,812.193,1294.6,95.6848,3.18055e-15,-5.4133e-12,321.657,934.527,925.031,8.12603,-8.04061,-11.8199,377.179,944.417,527.574,19.2356,0.475945,-29.6896,4.84406,-1.59756,-11.8846,404.84,920.032,1449.04,-13.3313,48.1983,75.8717,6.3132,-2.04373,-7.63443,11.2913,-0.0288862,-4.27129,420.213,856.333,1099.39,-64.797,138.827,9.75322,179.863708,1100.807983,1676.178955,304.599426,1084.365601,1679.379517,141.864532,939.037903,1713.710815,290.939850,918.345337,1713.809570,210.292557,888.281189,1561.331055,201.743820,774.480408,1302.776611,217.750366,1023.059631,1460.194946,226.082169,1052.605103,1296.759033,278.368652,793.200745,1422.498169,63.518280,968.527466,1539.883911,-119.915863,933.639221,1392.045776,-188.817062,951.098450,1280.648315,-113.916908,934.865906,1145.931030,36.050446,902.297546,1110.096558,8.894709,972.980652,1081.461670,47.823746,992.359558,1139.510376,411.465088,924.956299,1510.491333,540.171265,819.202393,1387.954590,607.641846,851.425659,1285.560425,536.419922,848.698608,1158.192017,387.823914,855.783081,1135.743774,440.010284,900.041565,1091.102539,400.728333,936.165466,1152.182983,106.626923,1036.539063,1019.373657,378.505890,978.863403,1016.651611,174.823822,802.953125,1036.052246,249.167145,788.227295,1037.635864,67.855812,992.596985,713.306274,103.227280,972.434509,523.685852,86.587082,886.522766,330.013214,145.920670,890.354797,107.863068,193.588120,825.429932,82.489891,204.796738,1041.138550,81.482697,443.410156,897.101013,737.765076,431.947815,919.696899,534.609436,430.701050,815.854919,362.782837,398.797455,790.803101,121.046089,324.293488,772.985962,93.179405,459.848328,935.186096,80.852005
2,237.13,941.436,1052.09,185.07,911.446,108.254,3.22162,-6.7556,29.2159,-184.315,908.919,1287.41,94.778,-7.95139e-16,3.16783e-12,138.762,973.486,926.849,2.56267,4.14355,8.79806,159.717,951.316,527.767,1.94277,1.21056,-49.0355,4.83113,1.58149,11.8691,57.9407,965.638,1478.2,-6.63892,50.434,76.0425,6.31711,2.01495,7.62624,11.2799,0.0409091,4.26269,7.61832,924.809,1077.93,-74.6108,134.038,0.341903,373.206,825.932,111.453,10.603,-3.02116,14.4001,592.533,812.384,1294.58,95.7017,0,7.53791e-13,321.616,934.752,925.056,8.10966,-8.04219,-11.8016,377.223,944.638,527.621,19.2597,0.490059,-29.7915,4.83113,-1.58149,-11.8691,404.86,920.161,1449.09,-13.3293,48.1983,75.8645,6.31711,-2.01495,-7.62624,11.2799,-0.0409091,-4.26269,419.951,856.647,1099.28,-64.3787,139.254,10.3499,179.668350,1100.736816,1676.269165,304.423370,1084.365845,1679.530518,141.770859,938.985657,1713.668457,290.949066,918.304382,1713.914673,210.249603,888.343018,1561.339355,201.660034,774.544800,1302.681396,217.675888,1023.090454,1460.219727,225.958115,1052.691162,1296.740234,278.303741,793.327576,1422.394531,63.461826,968.520996,1539.887695,-119.904716,933.675720,1392.038696,-188.883301,951.139465,1280.657715,-113.967667,934.942688,1145.921631,35.934601,902.290100,1110.125488,8.810577,973.096863,1081.435181,47.761475,992.443420,1139.512085,411.472382,925.084717,1510.536377,540.176758,819.311462,1387.893311,607.636353,851.619873,1285.555908,536.761841,848.582520,1158.287354,387.373627,856.166565,1135.500244,439.982269,900.302612,1091.119751,400.742004,936.289490,1152.126831,106.505234,1036.684937,1019.367676,378.455078,979.078186,1016.701477,174.892548,803.118774,1036.007202,249.184723,788.422607,1037.604004,67.807648,992.707581,713.315125,103.214478,972.543152,523.621643,86.569740,886.644592,329.984283,145.919464,890.295715,107.898048,193.514297,825.388550,82.505775,204.778214,1041.147461,81.496910,443.452057,897.372986,737.846436,432.005188,919.951538,534.671692,430.660492,815.883301,362.767365,398.791412,790.854553,121.211884,324.337891,773.099854,93.261269,459.866791,935.148010,80.789650
3,237.098,941.544,1052.07,185.109,911.466,108.16,3.25278,-6.75077,29.1951,-184.355,908.933,1287.35,94.7735,7.95139e-16,1.39388e-12,138.728,973.662,926.78,2.54754,4.13959,8.88926,159.68,951.419,527.739,1.93734,1.22192,-49.0977,4.82949,1.57403,11.8506,57.8717,965.665,1478.18,-6.62686,50.4414,76.055,6.30185,2.01609,7.64101,11.2622,0.0275081,4.23059,7.61494,924.936,1077.83,-74.4925,134.067,0.504855,373.247,825.97,111.407,10.6498,-3.03039,14.4504,592.492,812.618,1294.53,95.6267,-3.18055e-15,-3.57176e-12,321.594,934.99,925.004,8.10567,-8.04169,-11.89,377.225,944.882,527.603,19.2834,0.455067,-29.7515,4.82949,-1.57403,-11.8506,404.756,920.238,1449.02,-13.3321,48.1988,75.8925,6.30185,-2.01609,-7.64101,11.2622,-0.0275081,-4.23059,420.411,856.504,1099.38,-64.2589,140.717,10.3085,179.515518,1100.653809,1676.339844,304.272156,1084.336670,1679.614502,141.713150,938.846436,1713.685059,291.290314,918.207214,1713.942505,210.208847,888.383911,1561.221558,201.709488,774.705261,1302.606201,217.551773,1023.116089,1460.212158,225.844482,1052.745361,1296.753174,278.350464,793.430664,1422.280273,63.391647,968.540222,1539.863525,-119.991646,933.699707,1392.010620,-188.935852,951.153748,1280.610718,-114.042328,935.014648,1145.837158,35.995193,902.435974,1109.971802,8.731290,973.214478,1081.387817,47.695240,992.557739,1139.495239,411.372650,925.139587,1510.474854,540.126648,819.469727,1387.815674,607.564636,851.866333,1285.501465,536.752441,848.777588,1158.215820,387.918732,856.258606,1135.714478,440.516724,900.096558,1090.906738,400.664673,936.428406,1152.083984,106.430054,1036.849243,1019.297852,378.419434,979.328918,1016.657104,174.901749,803.335999,1035.921753,249.288925,788.611450,1037.549561,67.871246,992.925476,713.275269,103.204460,972.716492,523.586975,86.575691,886.734131,329.953247,145.954941,890.321899,107.800484,193.487488,825.404236,82.475227,204.779297,1041.139526,81.446297,443.403107,897.494263,737.808167,431.977997,920.128784,534.652039,430.685425,815.956360,362.769226,398.815399,790.886230,121.186012,324.337982,773.023193,93.262436,459.824341,935.196960,80.805740
4,236.971,941.742,1052.01,185.129,911.487,108.17,3.28569,-6.75363,29.2074,-184.433,908.971,1287.31,94.771,-7.95139e-16,-3.04538e-12,138.669,973.865,926.778,2.55695,4.16255,8.87619,159.742,951.627,527.743,1.97023,1.20926,-49.0863,4.83298,1.58115,11.8523,57.7462,965.73,1478.2,-6.60529,50.3826,76.1342,6.23913,1.95972,7.71699,11.1971,0.0775967,4.14989,7.553,925.075,1077.83,-74.5492,134.049,0.476046,373.156,825.948,111.389,10.6865,-3.00606,14.3177,592.394,812.798,1294.41,95.664,0,-1.62844e-12,321.533,935.185,924.983,8.113,-8.05413,-11.8647,377.216,945.082,527.558,19.3176,0.465354,-29.6671,4.83298,-1.58115,-11.8523,404.631,920.419,1448.94,-13.4294,48.2493,75.88,6.23913,-1.95972,-7.71699,11.1971,-0.0775967,-4.14989,420.064,856.805,1099.23,-63.9343,141.425,10.8143,179.455978,1100.554932,1676.439453,303.818787,1084.580322,1679.596191,141.645782,938.806030,1713.674072,290.694366,918.160217,1713.854126,210.093597,888.360352,1561.260620,201.699661,774.785400,1302.531494,217.431793,1023.169189,1460.196411,225.242920,1053.175293,1296.760620,278.152039,793.480347,1422.198608,63.292213,968.577942,1539.885864,-120.132584,933.706970,1391.983398,-189.024261,951.191895,1280.577271,-114.057297,935.072327,1145.791992,35.930279,902.576111,1109.976440,8.659742,973.351807,1081.400146,47.631817,992.733276,1139.503418,411.226135,925.248352,1510.403564,539.999573,819.710449,1387.732544,607.474121,852.045959,1285.397461,536.286133,849.345215,1158.024658,387.417999,856.657471,1135.460693,440.399414,900.334839,1090.837402,400.549469,936.601746,1152.031006,106.388206,1037.057861,1019.296387,378.368408,979.527954,1016.626343,174.850296,803.496643,1035.942871,249.306458,788.784485,1037.534302,67.845512,993.123108,713.233398,103.263405,972.913269,523.574585,86.612808,886.843323,329.884460,145.973709,890.344543,107.823334,193.551834,825.439758,82.527718,204.824829,1041.162354,81.457985,443.403259,897.719482,737.788269,431.977417,920.350220,534.614746,430.766693,816.214233,362.838684,398.790405,790.912659,121.168732,324.346771,773.065063,93.268257,459.872375,935.233826,80.801529
5,236.908,941.779,1052.02,185.158,911.423,108.188,3.31433,-6.74508,29.1706,-184.454,908.88,1287.25,94.7612,-7.95139e-16,-2.60249e-12,138.61,973.995,926.796,2.54879,4.17232,8.85986,159.784,951.755,527.728,2.00072,1.20317,-49.0614,4.82322,1.57483,11.8512,57.6884,965.736,1478.18,-6.62179,50.3609,76.077,6.26095,1.94752,7.70425,11.2085,0.0862882,4.1608,7.45509,925.179,1077.8,-74.6515,134.091,0.371914,373.153,825.938,111.461,10.6544,-3.00313,14.3017,592.44,813.042,1294.45,95.7164,0,-1.70796e-12,321.476,935.321,925.014,8.07636,-8.05254,-11.779,377.15,945.044,527.496,19.2903,0.494603,-29.7306,4.82322,-1.57483,-11.8512,404.586,920.483,1448.99,-13.3731,48.2737,75.8201,6.26095,-1.94752,-7.70425,11.2085,-0.0862882,-4.1608,419.973,857.398,1099.25,-64.2457,139.884,10.2643,179.911438,1100.181763,1676.540039,303.733948,1084.546021,1679.726440,141.203720,938.826416,1713.863159,290.713104,918.161865,1713.940308,210.022476,888.485107,1561.305664,201.541687,774.818665,1302.565552,217.343765,1023.210632,1460.179443,225.176437,1053.225098,1296.775146,278.084351,793.619324,1422.138916,63.232510,968.585754,1539.865234,-120.154823,933.688171,1391.923218,-189.068619,951.099976,1280.534790,-114.100594,935.070923,1145.771851,35.817860,902.587158,1109.928589,8.599746,973.477478,1081.410767,47.595608,992.793152,1139.508545,411.169769,925.331116,1510.447998,539.981628,819.841736,1387.740723,607.519348,852.300476,1285.488037,536.625549,849.278503,1158.147827,387.536346,856.942261,1135.523071,439.888916,901.033081,1091.049316,400.546295,936.748047,1152.036499,106.332977,1037.168701,1019.321411,378.284851,979.653381,1016.671326,174.896317,803.682739,1035.948486,249.316299,788.957825,1037.503418,67.847481,993.220886,713.246765,103.299835,973.023010,523.545593,86.682716,886.918640,329.926453,145.999191,890.286804,107.852158,193.549988,825.404663,82.506271,204.786331,1041.153809,81.454758,443.403595,897.915833,737.846558,431.948975,920.399841,534.568420,430.744904,816.236389,362.870636,398.800476,790.912598,121.242096,324.301849,773.070374,93.267601,459.833282,935.176147,80.819611
6,236.877,941.873,1052.03,185.167,911.377,108.196,3.33823,-6.74393,29.1657,-184.482,908.831,1287.22,94.7563,1.59028e-15,5.09684e-13,138.545,974.154,926.776,2.52307,4.17762,8.89058,159.714,951.773,527.711,1.98561,1.211,-49.0892,4.81724,1.57538,11.8495,57.6333,965.806,1478.15,-6.64767,50.3685,76.0838,6.23899,1.95955,7.72041,11.1811,0.0713368,4.14437,7.42342,925.26,1077.72,-74.5692,134.109,0.396931,373.161,825.914,111.443,10.7058,-3.00093,14.2897,592.44,813.247,1294.5,95.6591,-3.18055e-15,3.4668e-12,321.412,935.485,924.988,8.08182,-8.0776,-11.7903,377.241,945.247,527.624,19.3322,0.509705,-29.6968,4.81724,-1.57538,-11.8495,404.541,920.66,1449,-13.3992,48.2766,75.8726,6.23899,-1.95955,-7.72041,11.1811,-0.0713368,-4.14437,420.328,857.259,1099.37,-64.0931,141.265,10.3389,179.756516,1100.141479,1676.658691,303.607056,1084.525513,1679.870239,141.414261,938.642334,1713.743530,290.724731,917.848145,1713.869751,209.929276,888.484863,1561.280884,201.554764,774.984985,1302.470581,217.236786,1023.224854,1460.221313,225.075394,1053.261230,1296.777710,278.041748,793.722351,1422.110596,63.160637,968.636963,1539.839966,-120.254852,933.617859,1391.886963,-189.119659,951.049072,1280.498413,-114.168037,935.067383,1145.693604,35.781933,902.697693,1109.822876,8.570985,973.521973,1081.367798,47.498650,992.905396,1139.496338,411.115997,925.488159,1510.463501,539.910950,820.012939,1387.696899,607.500671,852.509827,1285.522705,536.654053,849.519531,1158.161255,387.916412,857.030640,1135.718506,440.369293,900.828247,1090.913086,400.576019,936.862549,1152.033325,106.265160,1037.316895,1019.308777,378.222870,979.808594,1016.649353,174.836578,803.874329,1035.886597,249.318558,789.126160,1037.479980,67.841499,993.327209,713.208618,103.240799,973.067749,523.521423,86.625595,886.893188,329.923431,146.008926,890.240051,107.855469,193.479462,825.443115,82.568810,204.783401,1041.125244,81.486404,443.403290,898.081299,737.919495,432.032074,920.591980,534.716736,430.813660,816.342468,362.858185,398.818390,790.898254,121.231644,324.339691,773.061157,93.351311,459.857513,935.205627,80.849358
7,236.853,941.919,1051.99,185.131,911.461,108.112,3.36556,-6.76162,29.2418,-184.529,908.782,1287.11,94.7544,-1.59028e-15,-4.96882e-12,138.533,974.318,926.705,2.51488,4.17439,8.89158,159.736,951.937,527.703,1.99906,1.20141,-49.1385,4.81047,1.56525,11.8506,57.5376,965.847,1478.08,-6.72507,50.3039,76.0461,6.20179,1.90451,7.66966,11.1345,0.118865,4.19113,7.41473,925.421,1077.58,-74.4238,134.156,0.542895,373.168,825.92,111.467,10.6962,-3.00103,14.2902,592.408,813.444,1294.43,95.6783,0,1.57437e-12,321.4,935.648,924.944,8.05714,-8.06443,-11.777,377.185,945.311,527.499,19.3239,0.500861,-29.7068,4.81047,-1.56525,-11.8506,404.406,920.783,1448.95,-13.3716,48.3562,75.9425,6.20179,-1.90451,-7.66966,11.1345,-0.118865,-4.19113,420.257,857.458,1099.34,-64.0837,141.291,10.3428,179.589935,1100.123047,1676.786133,303.455933,1084.480347,1679.897461,141.234680,938.608032,1713.733154,290.548706,917.788025,1713.824219,209.855667,888.589539,1561.218628,201.469986,775.144043,1302.366211,217.478058,1023.013000,1460.271851,224.970779,1053.337158,1296.798828,277.905121,793.951660,1421.968994,63.014812,968.672363,1539.772705,-120.444084,933.576721,1391.762329,-189.194901,951.000244,1280.404907,-114.249786,935.102356,1145.593750,35.830696,902.873413,1109.630005,8.487231,973.675293,1081.280518,47.405113,993.082397,1139.492676,410.994415,925.566833,1510.414063,539.835510,820.236206,1387.637207,607.456726,852.713684,1285.463989,536.620422,849.777283,1158.115112,387.861420,857.221069,1135.689087,440.276886,901.027771,1090.895752,400.493195,937.046204,1152.034180,106.188072,1037.480591,1019.239197,378.243958,979.950623,1016.620422,174.755051,803.988464,1035.766113,249.244980,789.331360,1037.442261,67.849586,993.492004,713.155029,103.263527,973.232239,523.507141,86.671898,886.956116,329.889282,145.989685,890.292053,107.784744,193.467865,825.405212,82.423149,204.799789,1041.133545,81.445984,443.290283,898.256287,737.888245,431.983124,920.671265,534.591187,430.776917,816.418945,362.828613,398.829132,790.909851,121.266342,324.337860,773.080200,93.391434,459.875610,935.239319,80.828300
8,236.82,942.027,1051.96,185.156,911.415,108.135,3.35919,-6.7456,29.1728,-184.554,908.751,1287.05,94.7452,7.95139e-16,-3.00642e-12,138.51,974.471,926.653,2.50768,4.16455,8.90283,159.719,952.008,527.675,2.00166,1.20786,-49.084,4.81768,1.55291,11.8457,57.4364,965.889,1478.08,-6.73634,50.298,76.0321,6.1817,1.90143,7.6767,11.1212,0.106877,4.18031,7.40831,925.548,1077.51,-74.4142,134.209,0.577789,373.177,825.921,111.446,10.6796,-3.0035,14.3037,592.669,813.481,1294.48,95.7662,3.18055e-15,9.25541e-13,321.382,935.82,924.935,8.05684,-8.05264,-11.8067,377.158,945.454,527.553,19.3323,0.48418,-29.7115,4.81768,-1.55291,-11.8457,404.35,920.944,1448.95,-13.4007,48.3984,75.9547,6.1817,-1.90143,-7.6767,11.1212,-0.106877,-4.18031,420.229,857.621,1099.29,-64.0919,141.27,10.371,179.464417,1100.185303,1676.868042,303.361633,1084.469849,1679.965576,141.137756,938.589722,1713.699097,290.292328,917.718384,1713.782349,209.742630,888.635315,1561.192017,201.468155,775.268677,1302.249146,217.391083,1023.073181,1460.238770,224.862625,1053.410889,1296.806274,277.832611,794.033630,1421.949951,62.928989,968.701904,1539.769653,-120.484009,933.533142,1391.693359,-189.242096,950.967834,1280.359131,-114.282097,935.105042,1145.542358,35.834858,903.056763,1109.526489,8.453056,973.757385,1081.247314,47.404167,993.154480,1139.482422,410.919647,925.718933,1510.417603,539.802551,820.425049,1387.616821,607.731445,852.748291,1285.529663,536.575623,849.999451,1158.043945,387.848724,857.421204,1135.644165,440.280518,901.170593,1090.819580,400.526367,937.329590,1152.026245,106.166138,1037.635742,1019.172668,378.174683,980.144958,1016.617920,174.729385,804.166199,1035.783081,249.239075,789.469421,1037.398193,67.875580,993.594360,713.137268,103.249161,973.308594,523.473938,86.749794,887.116577,329.801117,145.992767,890.286682,107.805367,193.457565,825.355530,82.407875,204.810287,1041.126953,81.412354,443.306122,898.356567,737.853088,431.946533,920.791748,534.645691,430.762238,816.422241,362.848206,398.821167,790.902100,121.259773,324.312531,773.063293,93.293945,459.898315,935.189514,80.754333
9,236.736,942.123,1051.97,185.195,911.345,108.144,3.42492,-6.75292,29.2044,-184.569,908.668,1286.99,94.738,0,3.31016e-12,138.462,974.569,926.705,2.53254,4.18064,8.84608,159.738,952.192,527.721,2.04847,1.21548,-49.0737,4.82647,1.56426,11.8442,57.3208,965.919,1478.09,-6.70226,50.3333,76.049,6.17495,1.96024,7.7467,11.1256,0.0515084,4.11434,7.40513,925.593,1077.5,-74.3911,134.207,0.557628,373.212,825.924,111.488,10.6652,-3.00718,14.3238,592.636,813.694,1294.48,95.7925,0,1.8479e-12,321.334,935.92,924.957,8.04539,-8.06992,-11.7558,377.131,945.39,527.583,19.301,0.509536,-29.7679,4.82647,-1.56426,-11.8442,404.243,921.011,1448.99,-13.4141,48.3397,75.8825,6.17495,-1.96024,-7.7467,11.1256,-0.0515084,-4.11434,420.096,858.004,1099.28,-64.2832,139.926,9.97147,179.346848,1100.137451,1677.000244,303.509583,1084.196289,1680.125122,141.003098,938.527710,1713.781860,290.177216,917.630859,1713.849365,209.666138,888.680420,1561.260010,201.444489,775.360535,1302.282959,216.930206,1023.239258,1460.207642,224.764893,1053.504150,1296.849854,277.772736,794.151611,1421.918335,62.843830,968.717163,1539.778809,-120.535477,933.456360,1391.651123,-189.278595,950.883423,1280.304932,-114.305992,935.065247,1145.472412,35.830807,903.090820,1109.537476,8.432626,973.820435,1081.230347,47.326828,993.195679,1139.478516,410.782928,925.791931,1510.459717,539.796936,820.590515,1387.645630,607.685791,852.971924,1285.552612,536.626953,850.271973,1158.181274,387.875244,857.563049,1135.674805,439.815735,901.640747,1090.944214,400.562988,937.523926,1152.124023,106.115532,1037.752563,1019.221802,378.165466,980.255249,1016.620972,174.754776,804.275696,1035.845825,249.271072,789.625305,1037.458740,67.790161,993.671509,713.171326,103.246849,973.436401,523.516907,86.631470,887.020203,329.891846,146.047928,890.185913,107.828506,193.513245,825.363159,82.455414,204.812683,1041.116455,81.453209,443.269318,898.479858,737.893372,431.939911,920.779785,534.692749,430.725464,816.418030,362.895294,398.850037,790.900330,121.301949,324.301971,773.000854,93.363266,459.889740,935.178955,80.791924
10,236.665,942.232,1051.92,185.156,911.423,108.097,3.3967,-6.75494,29.213,-184.602,908.578,1286.91,94.7401,0,3.07957e-12,138.429,974.745,926.674,2.51863,4.18263,8.92329,159.67,952.267,527.704,2.02957,1.22048,-49.1287,4.82784,1.568,11.8345,57.2301,965.954,1478.06,-6.72526,50.3305,76.0492,6.14245,1.97221,7.75995,11.0948,0.038516,4.09239,7.38834,925.701,1077.46,-74.4315,134.197,0.492858,373.13,825.888,111.474,10.6805,-2.99763,14.2716,592.372,814.024,1294.4,95.6903,-3.18055e-15,3.60357e-12,321.307,936.126,924.912,8.02462,-8.07359,-11.7124,377.071,945.452,527.494,19.2945,0.527284,-29.7882,4.82784,-1.568,-11.8345,404.123,921.144,1448.99,-13.4152,48.302,75.9205,6.14245,-1.97221,-7.75995,11.0948,-0.038516,-4.09239,420.203,857.994,1099.31,-64.0931,140.653,10.3853,179.188553,1100.169800,1677.042969,303.346619,1084.250732,1680.182251,140.844604,938.609680,1713.765625,289.984772,917.670288,1713.875977,209.604355,888.704041,1561.191406,201.422424,775.499512,1302.273926,216.778442,1023.237610,1460.169434,224.671143,1053.646729,1296.873535,277.700073,794.267639,1421.822388,62.769005,968.725281,1539.749512,-120.694412,933.426819,1391.585449,-189.340805,950.791504,1280.235596,-114.308411,935.112488,1145.402710,35.812943,903.161743,1109.524170,8.398667,973.964722,1081.181030,47.278381,993.361755,1139.472900,410.632843,925.897461,1510.459229,539.670776,820.767456,1387.613403,607.387329,853.313049,1285.464111,536.599548,850.508484,1158.197510,387.787781,857.738892,1135.649902,440.227173,901.574341,1090.864868,400.586456,937.902161,1152.163818,106.074806,1037.925903,1019.192078,378.142731,980.471375,1016.570801,174.627151,804.466125,1035.783081,249.223694,789.805054,1037.460693,67.823021,993.871216,713.132690,103.203529,973.576904,523.497131,86.707443,887.183960,329.820313,146.005096,890.271606,107.778000,193.496674,825.405579,82.448517,204.816864,1041.100952,81.377136,443.313873,898.676697,737.932495,431.902893,920.895630,534.611450,430.686981,816.492126,362.864502,398.788330,790.880066,121.292175,324.321289,773.000610,93.335892,459.897186,935.171082,80.778221
